dashboard_id,medewerker_id,snapshot_datum,activiteiten_vandaag,actieve_minuten_vandaag,calorieen_vandaag,gem_hartslag,reeks_weken,totaal_punten,rang_in_org,doel_voortgang_pct
55,76,2025-11-05,1,80.4,670,129.0,1,2150,16,51.7
56,87,2025-11-05,1,78.6,654,111.0,1,1550,10,79.6
57,214,2025-11-05,1,67.8,565,135.0,1,900,96,37.7
58,43,2025-11-05,1,77.7,647,127.0,1,700,72,32.4
59,29,2025-11-05,1,67.4,561,136.0,1,500,11,90.9
60,63,2025-11-03,1,42.1,488,,1,1550,120,28.1
61,76,2025-11-03,1,43.8,508,151.0,1,2150,16,51.7
62,166,2025-11-03,2,115.6,1340,136.5,1,50,17,
63,190,2025-11-03,1,37.3,432,135.0,1,200,194,24.9
64,132,2025-11-03,1,78.9,915,130.0,1,1700,37,43.8
65,35,2025-11-03,1,79.8,925,121.0,1,1600,105,88.7
66,123,2025-11-03,1,65.6,760,119.0,1,1200,115,54.7
67,18,2025-11-03,1,81.0,939,123.0,1,1350,110,27.0
68,24,2025-11-03,1,80.2,930,148.0,1,700,89,66.8
69,36,2025-11-03,1,75.5,875,131.0,1,1950,39,31.5
70,186,2025-11-08,1,60.2,451,134.0,1,850,177,20.1
71,72,2025-11-08,1,52.1,390,125.0,1,250,159,24.8
72,105,2025-11-08,1,54.7,410,126.0,1,700,114,26.0
73,114,2025-11-08,1,56.6,424,107.0,1,1200,18,45.2
74,14,2025-11-08,1,58.2,436,120.0,1,950,197,32.3
75,17,2025-11-06,1,47.1,238,113.0,1,100,169,39.2
76,188,2025-11-06,1,40.4,204,114.0,1,1500,180,44.9
77,90,2025-11-06,1,43.0,217,,1,900,47,35.8
78,129,2025-11-06,1,44.2,223,126.0,1,500,28,18.4
79,15,2025-11-09,1,73.0,584,114.0,1,200,5,
80,112,2025-11-09,1,66.8,534,114.0,1,1750,6,103.7
81,202,2025-11-09,1,61.3,490,124.0,1,250,27,20.4
82,128,2025-11-09,1,58.3,466,138.0,1,600,69,64.8
83,98,2025-11-09,1,54.6,436,138.0,1,200,9,71.0
84,81,2025-11-09,1,55.7,445,121.0,1,1150,7,73.7
85,87,2025-11-09,1,64.7,517,124.0,1,1550,10,79.6
86,101,2025-11-09,1,63.9,511,130.0,1,2050,8,150
87,104,2025-11-05,1,77.5,1265,135.0,1,950,101,86.1
88,154,2025-11-05,1,73.0,1192,138.0,1,1250,20,42.3
89,117,2025-11-05,1,70.7,1154,124.0,1,250,115,33.7
90,135,2025-11-10,1,55.0,440,121.0,2,1300,10,121.0
91,39,2025-11-10,1,51.9,415,120.0,2,1500,15,
92,123,2025-11-10,1,36.7,293,103.0,2,1200,13,110.8
93,157,2025-11-10,1,47.0,376,118.0,2,750,15,115.2
94,211,2025-11-10,1,48.2,385,105.0,1,600,115,
95,154,2025-11-14,1,90.1,567,121.0,2,1250,5,74.0
96,48,2025-11-14,1,92.3,581,,1,200,3,150
97,135,2025-11-14,1,90.2,568,117.0,2,1300,10,121.0
98,74,2025-11-14,1,90.8,572,109.0,1,650,18,30.3
99,52,2025-11-14,1,86.2,543,115.0,1,1150,38,71.8
100,131,2025-11-14,1,85.2,536,130.0,1,100,4,118.9
101,50,2025-11-14,1,88.7,558,101.0,2,250,219,59.1
102,86,2025-11-14,1,95.0,598,130.0,1,1900,1,150
103,14,2025-11-12,1,54.3,99,105.0,2,950,136,30.2
104,204,2025-11-12,1,48.5,88,103.0,2,1700,213,32.3
105,131,2025-11-13,1,93.2,745,124.0,1,100,4,118.9
106,123,2025-11-13,1,96.3,770,109.0,2,1200,13,110.8
107,148,2025-11-15,1,86.7,439,123.0,1,1950,123,28.9
108,200,2025-11-15,1,88.7,449,120.0,2,200,9,100.5
109,97,2025-11-15,1,97.2,492,119.0,1,1100,2,106.1
110,45,2025-11-16,1,71.1,533,133.0,1,2000,8,67.3
111,43,2025-11-16,1,56.6,424,135.0,2,700,186,23.6
112,110,2025-11-16,1,60.7,455,124.0,1,1150,218,20.2
113,157,2025-11-16,1,56.7,425,132.0,2,750,15,115.2
114,200,2025-11-16,1,62.0,465,134.0,2,200,9,100.5
115,184,2025-11-16,1,65.4,490,122.0,2,650,1,31.1
116,62,2025-11-14,1,58.7,107,102.0,2,1200,3,24.5
117,113,2025-11-14,1,48.3,88,116.0,1,1700,14,84.5
118,172,2025-11-14,1,50.2,92,115.0,1,1250,42,27.9
119,85,2025-11-14,1,39.5,72,110.0,2,200,71,43.9
120,35,2025-11-11,2,168.4,1338,118.0,2,1600,7,150
121,114,2025-11-10,1,65.8,131,96.0,2,1200,18,27.4
122,101,2025-11-10,1,62.7,125,110.0,2,2050,12,150
123,15,2025-11-10,1,50.3,100,114.0,2,200,5,
124,120,2025-11-10,1,55.2,110,125.0,1,250,220,30.7
125,116,2025-11-10,1,60.6,121,100.0,1,1000,97,33.7
126,124,2025-11-10,1,59.0,118,111.0,2,2450,152,39.3
127,94,2025-11-10,1,66.4,132,114.0,1,2200,185,44.3
128,113,2025-11-10,1,53.1,106,,1,1700,14,84.5
129,86,2025-11-10,2,157.1,861,122.0,1,1900,1,150
130,92,2025-11-10,1,66.7,133,105.0,1,2200,149,31.8
131,214,2025-11-12,1,80.8,700,125.0,2,900,151,44.9
132,218,2025-11-12,1,72.0,624,120.0,1,2100,104,48.0
133,26,2025-11-12,1,74.6,646,130.0,1,100,119,82.9
134,101,2025-11-12,1,75.5,654,123.0,2,2050,12,150
135,55,2025-11-12,1,72.2,625,123.0,2,700,186,48.1
136,40,2025-11-12,1,72.4,627,148.0,1,250,193,80.4
137,99,2025-11-11,1,94.9,790,,1,200,20,
138,97,2025-11-11,1,93.8,781,128.0,1,1100,2,106.1
139,196,2025-11-11,1,87.6,730,130.0,2,300,6,150
140,174,2025-11-11,1,96.1,800,105.0,2,850,16,32.0
141,70,2025-11-11,1,93.5,779,112.0,1,250,17,
142,181,2025-11-11,1,92.9,774,127.0,1,900,113,103.2
143,206,2025-11-11,1,92.5,770,118.0,2,1200,26,51.4
144,154,2025-11-11,1,87.6,730,114.0,2,1250,5,74.0
145,105,2025-11-13,1,42.5,255,122.0,2,700,11,67.7
146,48,2025-11-10,1,90.6,755,109.0,1,200,3,150
147,139,2025-11-10,1,94.0,783,135.0,1,1050,57,31.3
148,45,2025-11-10,1,90.5,754,137.0,1,2000,8,67.3
149,132,2025-11-10,1,86.9,724,115.0,2,1700,40,48.3
150,196,2025-11-10,1,86.8,723,131.0,2,300,6,150
151,95,2025-11-12,1,94.8,789,139.0,1,1800,19,79.0
152,105,2025-11-12,1,99.7,830,123.0,2,700,11,67.7
153,211,2025-11-20,1,92.4,800,107.0,2,600,186,
154,106,2025-11-20,1,95.0,823,121.0,1,1400,11,64.0
155,127,2025-11-20,1,90.7,786,110.0,1,1150,15,99.2
156,121,2025-11-20,1,91.2,790,110.0,1,650,21,101.3
157,55,2025-11-20,1,83.8,726,120.0,3,700,163,55.9
158,153,2025-11-20,1,85.4,740,,1,200,153,
159,178,2025-11-20,2,146.6,867,114.0,1,750,6,56.8
160,75,2025-11-20,1,67.6,90,114.0,1,50,19,54.8
161,205,2025-11-20,1,78.1,104,,1,200,10,87.7
162,110,2025-11-20,1,83.8,111,115.0,2,1150,136,27.9
163,47,2025-11-20,1,68.6,91,112.0,1,250,123,38.1
164,98,2025-11-21,1,28.5,313,128.0,1,200,9,13.6
165,217,2025-11-21,1,33.0,363,133.0,1,2000,133,35.4
166,114,2025-11-21,1,29.9,328,110.0,3,1200,8,68.8
167,106,2025-11-21,1,18.8,206,117.0,1,1400,11,64.0
168,120,2025-11-21,1,30.1,331,136.0,2,250,12,76.8
169,158,2025-11-18,1,41.6,499,,1,1300,13,46.8
170,92,2025-11-18,1,46.5,558,,2,2200,119,22.1
171,200,2025-11-18,1,46.5,558,139.0,3,200,9,31.0
172,17,2025-11-18,1,50.3,603,128.0,1,100,207,41.9
173,40,2025-11-18,1,52.8,633,142.0,2,250,100,58.7
174,148,2025-11-18,1,36.2,434,134.0,2,1950,106,12.1
175,29,2025-11-18,1,42.0,504,136.0,1,500,11,53.9
176,214,2025-11-18,1,45.5,546,139.0,3,900,67,25.3
177,205,2025-11-18,1,34.6,415,122.0,1,200,10,87.7
178,41,2025-11-18,1,48.7,584,113.0,1,1750,76,73.5
179,78,2025-11-18,1,48.4,580,128.0,1,2050,180,87.2
180,36,2025-11-18,1,48.1,577,137.0,1,1950,63,20.0
181,10,2025-11-18,1,50.2,602,125.0,1,1900,7,93.7
182,160,2025-11-18,1,50.7,608,132.0,1,550,4,67.6
183,34,2025-11-18,1,46.4,556,115.0,1,650,57,38.7
184,140,2025-11-20,1,63.4,437,102.0,1,2250,148,88.7
185,113,2025-11-20,1,53.7,370,126.0,2,1700,14,44.8
186,128,2025-11-20,1,58.1,400,136.0,1,600,118,126.0
187,97,2025-11-20,1,64.3,443,130.0,2,1100,2,35.7
188,45,2025-11-20,1,58.1,400,,2,2000,2,91.7
189,66,2025-11-20,1,58.9,406,134.0,1,1500,56,24.5
190,157,2025-11-21,1,87.5,551,118.0,3,750,15,97.2
191,75,2025-11-21,1,96.9,610,130.0,1,50,19,54.8
192,95,2025-11-21,1,94.8,597,137.0,2,1800,19,79.0
193,12,2025-11-21,1,90.8,572,126.0,1,600,108,60.5
194,162,2025-11-21,1,84.5,532,140.0,1,300,5,104.2
195,187,2025-11-23,1,33.0,33,102.0,1,1350,46,22.0
196,35,2025-11-23,2,66.0,604,117.5,3,1600,1,150
197,26,2025-11-23,1,29.2,29,112.0,2,100,169,101.7
198,84,2025-11-23,1,17.0,17,130.0,1,100,97,42.9
199,219,2025-11-23,1,33.8,33,103.0,1,2250,64,18.8
200,196,2025-11-23,1,24.5,24,108.0,3,300,6,27.2
201,209,2025-11-23,1,33.7,33,91.0,1,1650,41,50.4
202,158,2025-11-23,1,37.1,37,107.0,1,1300,13,46.8
203,186,2025-11-23,1,34.5,34,111.0,1,850,113,11.5
204,103,2025-11-23,1,28.8,28,120.0,1,500,32,9.6
205,35,2025-11-22,1,79.5,662,123.0,3,1600,1,150
206,123,2025-11-22,1,77.8,648,112.0,3,1200,4,150
207,132,2025-11-22,1,72.5,604,118.0,3,1700,16,91.9
208,80,2025-11-22,1,76.4,636,126.0,1,1750,153,84.9
209,14,2025-11-22,1,73.3,610,125.0,3,950,35,40.7
210,164,2025-11-19,1,45.8,615,125.0,1,1350,103,50.9
211,72,2025-11-19,1,44.8,601,132.0,1,250,200,21.3
212,175,2025-11-19,1,43.4,583,121.0,1,1150,115,24.1
213,116,2025-11-19,1,49.7,667,119.0,2,1000,20,79.2
214,90,2025-11-19,1,39.2,526,,1,900,159,102.8
215,181,2025-11-19,1,45.9,616,144.0,2,900,21,51.0
216,62,2025-11-20,1,71.7,762,117.0,3,1200,18,67.4
217,53,2025-11-20,1,71.8,763,111.0,1,1500,3,122.4
218,206,2025-11-20,1,67.6,718,117.0,3,1200,9,88.9
219,84,2025-11-22,1,60.3,482,142.0,1,100,37,42.9
220,45,2025-11-22,1,60.6,484,134.0,2,2000,2,91.7
221,210,2025-11-22,1,59.5,476,125.0,1,1700,20,65.6
222,93,2025-11-22,1,62.9,503,,1,550,207,30.0
223,128,2025-11-22,1,55.3,442,130.0,1,600,52,126.0
224,206,2025-11-22,1,59.0,472,111.0,3,1200,9,88.9
225,78,2025-11-20,1,56.3,103,119.0,1,2050,23,87.2
226,208,2025-11-20,1,63.1,115,116.0,1,650,39,72.7
227,41,2025-11-20,1,61.5,112,98.0,1,1750,71,73.5
228,26,2025-11-20,1,62.3,114,113.0,2,100,47,101.7
229,10,2025-11-19,1,33.2,33,104.0,1,1900,7,93.7
230,123,2025-11-19,1,31.1,31,96.0,3,1200,4,150
231,178,2025-11-19,1,23.9,23,112.0,1,750,6,56.8
232,104,2025-11-19,1,25.2,25,111.0,1,950,99,28.0
233,105,2025-11-19,1,27.7,27,,3,700,11,53.7
234,29,2025-11-19,1,38.9,38,,1,500,11,53.9
235,158,2025-11-19,1,33.5,33,102.0,1,1300,13,46.8
236,162,2025-11-19,1,27.4,27,116.0,1,300,5,104.2
237,123,2025-11-23,1,86.6,649,111.0,3,1200,4,150
238,154,2025-11-23,1,91.1,683,125.0,3,1250,5,38.0
239,166,2025-11-23,1,91.3,684,131.0,1,50,17,
240,24,2025-11-23,1,86.2,646,135.0,1,700,209,71.8
241,137,2025-11-23,1,92.2,691,146.0,1,100,50,
242,90,2025-11-23,1,84.2,631,142.0,1,900,115,102.8
243,94,2025-11-23,1,93.1,698,123.0,2,2200,82,62.1
244,76,2025-11-23,1,84.6,634,,1,2150,16,35.2
245,45,2025-11-23,1,101.3,759,,2,2000,2,91.7
246,105,2025-11-23,1,85.0,637,,3,700,11,53.7
247,114,2025-11-23,2,135.1,1284,115.0,3,1200,8,68.8
248,117,2025-11-23,1,97.7,732,106.0,1,250,91,46.5
249,160,2025-11-23,1,91.3,684,,1,550,4,67.6
250,11,2025-11-23,1,85.5,641,,1,450,17,150
251,119,2025-11-18,1,65.6,697,136.0,1,1750,20,126.8
252,199,2025-11-18,1,78.9,838,133.0,1,1250,90,43.8
253,120,2025-11-18,1,70.7,751,,2,250,12,76.8
254,96,2025-11-18,1,77.3,821,117.0,1,750,102,42.9
255,43,2025-11-18,1,83.0,882,138.0,3,700,85,34.6
256,209,2025-11-18,1,72.1,766,117.0,1,1650,137,50.4
257,210,2025-11-18,1,78.3,832,130.0,1,1700,150,65.6
258,102,2025-11-18,1,72.3,768,,1,1000,130,48.2
259,190,2025-11-18,1,78.2,831,128.0,1,200,76,52.1
260,11,2025-11-18,1,75.2,799,119.0,1,450,17,150
261,15,2025-11-19,1,88.9,118,113.0,3,200,5,
262,87,2025-11-19,1,91.8,122,100.0,1,1550,10,51.0
263,70,2025-11-19,1,90.5,120,,2,250,17,
264,15,2025-11-17,1,51.1,102,,3,200,5,
265,142,2025-11-17,1,32.7,65,105.0,1,950,19,10.9
266,58,2025-11-17,1,50.1,100,102.0,1,250,13,20.9
267,140,2025-11-17,1,43.0,86,107.0,1,2250,214,88.7
268,208,2025-11-17,1,45.9,91,105.0,1,650,203,72.7
269,172,2025-11-17,1,45.4,90,114.0,2,1250,79,25.2
270,150,2025-11-17,1,52.7,105,112.0,1,300,75,25.1
271,53,2025-11-17,1,53.6,107,100.0,1,1500,3,122.4
272,153,2025-11-17,1,46.3,92,124.0,1,200,147,
273,217,2025-11-17,1,41.3,82,114.0,1,2000,190,35.4
274,120,2025-11-17,1,37.5,75,120.0,2,250,12,76.8
275,205,2025-11-17,1,45.2,90,,1,200,10,87.7
276,77,2025-11-23,1,81.4,705,121.0,1,400,12,45.2
277,162,2025-11-23,1,75.6,655,122.0,1,300,5,104.2
278,116,2025-11-20,1,92.8,556,107.0,2,1000,196,79.2
279,119,2025-11-20,1,86.6,519,133.0,1,1750,20,126.8
280,10,2025-11-20,1,85.2,511,123.0,1,1900,7,93.7
281,99,2025-11-20,1,92.6,555,128.0,2,200,14,
282,127,2025-11-18,1,87.8,731,110.0,1,1150,15,99.2
283,35,2025-11-18,1,84.7,705,126.0,3,1600,1,150
284,132,2025-11-18,1,93.0,775,122.0,3,1700,16,91.9
285,99,2025-11-18,1,97.3,810,127.0,2,200,14,
286,177,2025-11-18,1,88.4,736,116.0,1,1150,92,49.1
287,53,2025-11-18,1,94.9,790,115.0,1,1500,3,122.4
288,62,2025-11-18,1,90.1,750,108.0,3,1200,18,67.4
289,139,2025-11-18,1,85.7,714,136.0,2,1050,182,28.6
290,106,2025-11-23,1,39.9,561,132.0,1,1400,11,64.0
291,206,2025-11-23,1,33.5,471,122.0,3,1200,9,88.9
292,187,2025-11-27,1,40.1,320,108.0,2,1350,154,26.7
293,175,2025-11-27,1,45.4,363,123.0,2,1150,61,56.4
294,62,2025-11-27,1,52.5,420,112.0,4,1200,18,45.5
295,96,2025-11-27,1,43.3,346,116.0,2,750,6,94.2
296,140,2025-11-30,1,68.9,925,127.0,2,2250,170,57.4
297,188,2025-11-30,1,86.3,1159,130.0,1,1500,11,150
298,174,2025-11-30,1,73.3,984,118.0,1,850,16,24.4
299,87,2025-11-30,1,75.6,1015,129.0,2,1550,2,137.9
300,19,2025-11-30,1,82.8,1112,122.0,1,850,14,
301,14,2025-11-30,1,62.8,843,125.0,4,950,17,75.7
302,191,2025-11-30,1,77.5,1041,126.0,1,200,142,64.6
303,103,2025-11-30,1,77.9,1046,134.0,2,500,12,58.0
304,213,2025-11-30,1,72.3,971,153.0,1,1600,139,60.2
305,181,2025-11-30,1,71.2,956,141.0,3,900,212,129.0
306,157,2025-11-30,1,81.4,1093,122.0,4,750,15,90.4
307,148,2025-11-26,1,88.5,610,116.0,3,1950,201,29.5
308,41,2025-11-26,1,84.1,580,101.0,2,1750,28,56.1
309,99,2025-11-26,1,87.4,603,130.0,3,200,14,
310,24,2025-11-26,1,93.2,643,127.0,2,700,58,77.7
311,53,2025-11-26,1,88.3,609,109.0,2,1500,3,49.1
312,96,2025-11-26,1,81.4,561,106.0,2,750,6,94.2
313,103,2025-11-26,1,96.0,662,128.0,2,500,12,58.0
314,45,2025-11-24,1,48.8,518,139.0,3,2000,20,51.5
315,74,2025-11-24,1,47.7,507,116.0,1,650,18,15.9
316,96,2025-11-24,1,44.9,477,119.0,2,750,6,94.2
317,92,2025-11-24,1,52.6,559,126.0,3,2200,164,25.0
318,154,2025-11-24,1,56.6,601,121.0,4,1250,5,23.6
319,75,2025-11-28,1,57.4,76,107.0,2,50,19,19.1
320,34,2025-11-28,1,57.9,77,105.0,2,650,31,76.0
321,52,2025-11-28,1,61.4,81,93.0,1,1150,151,51.2
322,47,2025-11-28,1,53.9,71,109.0,2,250,121,68.3
323,70,2025-11-28,1,66.7,88,99.0,3,250,17,
324,102,2025-11-28,1,54.6,72,109.0,2,1000,215,36.4
325,124,2025-11-28,1,62.3,83,114.0,1,2450,18,83.4
326,87,2025-11-28,1,58.7,78,96.0,2,1550,2,137.9
327,150,2025-11-28,1,64.9,86,,2,300,166,30.9
328,51,2025-11-28,1,60.1,80,119.0,1,200,8,79.9
329,93,2025-11-28,1,63.0,84,110.0,2,550,182,30.0
330,84,2025-11-26,1,88.7,709,136.0,2,100,94,49.3
331,94,2025-11-26,1,84.2,673,125.0,3,2200,165,56.1
332,65,2025-11-26,1,95.2,761,120.0,1,1150,109,39.7
333,214,2025-11-26,1,90.6,724,132.0,4,900,31,50.3
334,11,2025-11-26,2,165.6,1533,116.5,2,450,13,150
335,206,2025-11-26,1,98.9,791,104.0,4,1200,15,88.4
336,177,2025-11-26,2,125.7,1121,120.0,2,1150,19,69.8
337,128,2025-11-29,1,34.3,274,134.0,2,600,120,38.1
338,101,2025-11-29,1,30.9,247,123.0,1,2050,12,34.3
339,17,2025-11-29,1,24.3,194,125.0,2,100,25,20.2
340,117,2025-11-29,1,33.1,264,,2,250,1,105.4
341,142,2025-11-27,1,122.3,1019,111.0,2,950,19,40.8
342,106,2025-11-27,1,122.2,1018,116.0,2,1400,11,50.9
343,145,2025-11-27,1,118.8,990,,1,1400,169,56.6
344,184,2025-11-27,1,118.7,989,117.0,1,650,1,56.5
345,87,2025-11-27,1,114.0,950,124.0,2,1550,2,137.9
346,91,2025-11-27,1,112.7,939,125.0,1,1500,3,150
347,27,2025-11-27,1,114.7,955,127.0,1,450,34,76.5
348,78,2025-11-27,1,110.3,919,124.0,2,2050,9,150
349,36,2025-11-27,1,116.7,972,123.0,2,1950,7,84.5
350,51,2025-11-27,1,131.7,1097,141.0,1,200,8,79.9
351,19,2025-11-26,1,76.7,815,,1,850,14,
352,45,2025-11-26,1,74.8,795,127.0,3,2000,20,51.5
353,14,2025-11-26,1,73.4,780,123.0,4,950,17,75.7
354,78,2025-11-26,1,76.5,813,129.0,2,2050,9,150
355,117,2025-11-26,1,71.2,757,117.0,2,250,1,105.4
356,162,2025-11-26,1,29.4,341,,2,300,5,65.3
357,166,2025-11-26,1,27.1,314,144.0,2,50,17,
358,76,2025-11-26,1,39.1,453,146.0,2,2150,5,72.3
359,135,2025-11-26,1,27.6,320,131.0,1,1300,10,23.0
360,196,2025-11-26,1,24.0,278,144.0,4,300,6,26.7
361,58,2025-11-26,1,30.8,357,,2,250,13,12.8
362,34,2025-11-26,1,33.3,386,,2,650,44,76.0
363,186,2025-11-25,1,59.4,374,131.0,2,850,195,19.8
364,47,2025-11-25,1,69.0,434,127.0,2,250,153,68.3
365,18,2025-11-25,1,51.8,326,111.0,1,1350,83,17.3
366,202,2025-11-25,1,45.5,286,127.0,1,250,4,60.9
367,124,2025-11-25,1,62.8,395,132.0,1,2450,18,83.4
368,113,2025-11-25,1,63.7,401,121.0,3,1700,14,53.1
369,175,2025-11-25,1,56.2,354,104.0,2,1150,216,56.4
370,117,2025-11-25,2,117.1,736,111.0,2,250,1,105.4
371,40,2025-11-25,1,60.3,379,132.0,3,250,31,67.0
372,62,2025-11-25,1,56.7,357,115.0,4,1200,18,45.5
373,91,2025-11-25,1,68.0,428,117.0,1,1500,3,150
374,206,2025-11-25,1,60.2,379,111.0,4,1200,15,88.4
375,63,2025-11-25,1,61.1,384,124.0,1,1550,16,96.5
376,80,2025-11-28,1,80.0,405,121.0,2,1750,137,88.9
377,121,2025-11-28,1,77.3,391,105.0,2,650,97,85.9
378,129,2025-11-28,1,84.0,425,122.0,1,500,10,73.5
379,30,2025-11-28,1,72.3,366,,1,300,72,40.2
380,131,2025-11-28,1,70.1,355,124.0,1,100,4,46.7
381,76,2025-11-28,1,81.9,414,,2,2150,5,72.3
382,49,2025-11-28,1,67.4,341,108.0,1,750,174,32.1
383,76,2025-11-24,1,52.6,266,134.0,2,2150,5,72.3
384,104,2025-11-24,1,44.4,224,125.0,2,950,29,49.3
385,202,2025-11-24,1,44.0,222,114.0,1,250,4,60.9
386,205,2025-11-24,1,50.6,256,109.0,2,200,10,28.1
387,181,2025-11-24,1,44.9,227,118.0,3,900,82,129.0
388,123,2025-11-29,1,87.4,728,115.0,4,1200,4,72.8
389,63,2025-11-29,1,83.7,697,,1,1550,16,96.5
390,202,2025-11-29,1,93.3,777,132.0,1,250,4,60.9
391,188,2025-11-29,1,93.1,775,116.0,1,1500,11,150
392,36,2025-11-29,1,86.0,716,,2,1950,7,84.5
393,218,2025-11-29,1,90.7,755,118.0,1,2100,41,60.5
394,91,2025-11-28,1,48.1,120,119.0,1,1500,3,150
395,10,2025-11-28,1,39.6,99,120.0,2,1900,7,22.0
396,129,2025-11-29,1,92.4,982,143.0,1,500,10,73.5
397,160,2025-11-29,1,86.0,914,115.0,2,550,4,41.0
398,162,2025-11-29,1,88.1,936,,2,300,5,65.3
399,99,2025-12-04,1,79.1,498,126.0,4,200,18,
400,163,2025-12-04,1,76.2,480,124.0,1,2050,113,63.5
401,68,2025-12-04,1,70.0,441,123.0,1,300,165,38.9
402,181,2025-12-04,2,115.8,959,127.5,4,900,2,150
403,188,2025-12-04,1,77.7,489,113.0,2,1500,11,86.3
404,117,2025-12-04,1,73.8,464,119.0,3,250,1,94.3
405,116,2025-12-04,1,77.5,488,113.0,1,1000,19,43.1
406,196,2025-12-04,1,78.5,494,131.0,5,300,6,87.2
407,208,2025-12-04,1,74.8,471,,1,650,198,49.9
408,202,2025-12-04,1,73.8,464,134.0,2,250,4,24.6
409,42,2025-12-04,1,64.0,403,126.0,1,750,72,35.6
410,205,2025-12-04,1,71.6,451,98.0,3,200,10,39.8
411,131,2025-12-04,1,72.6,457,,2,100,4,48.4
412,214,2025-12-04,1,75.8,477,135.0,5,900,6,82.9
413,27,2025-12-04,1,68.0,428,128.0,2,450,207,45.3
414,37,2025-12-02,2,157.5,1067,125.0,1,100,5,75.0
415,160,2025-12-02,1,62.9,62,108.0,3,550,4,30.0
416,43,2025-12-02,1,59.2,59,110.0,1,700,220,24.7
417,139,2025-12-02,1,54.9,54,126.0,1,1050,3,47.2
418,140,2025-12-02,1,59.7,59,,3,2250,91,49.8
419,132,2025-12-04,1,76.9,892,133.0,1,1700,20,42.7
