behaalde_prestatie_id,medewerker_id,prestatie_id,behaald_op,punten_toegekend
88,26,17,2025-12-10,100
89,27,4,2025-12-09,250
90,27,5,2026-02-22,200
91,28,17,2026-03-17,100
92,28,19,2026-03-29,200
93,29,17,2025-11-01,100
94,29,19,2026-03-13,200
95,29,5,2025-06-24,200
96,30,17,2025-05-04,100
97,30,10,2025-04-07,200
98,31,1,2026-03-10,50
99,32,4,2026-02-15,250
100,32,1,2026-02-26,50
101,32,3,2026-01-31,500
102,32,18,2026-03-11,50
103,32,5,2026-02-27,200
104,32,19,2026-04-04,200
105,32,6,2026-03-04,200
106,32,10,2026-04-10,200
107,33,5,2026-04-06,200
108,33,19,2026-02-21,200
109,33,18,2026-03-20,50
110,33,6,2026-03-17,200
111,33,1,2026-03-11,50
112,33,2,2026-03-31,200
113,33,17,2026-02-27,100
114,33,4,2026-03-02,250
115,34,18,2025-11-30,50
116,34,17,2025-11-14,100
117,34,3,2025-10-22,500
118,35,17,2025-07-10,100
119,35,18,2026-03-31,50
120,35,20,2025-09-24,500
121,35,10,2026-02-17,200
122,35,3,2025-04-13,500
123,35,4,2026-01-18,250
124,36,2,2026-01-22,200
125,36,6,2026-02-11,200
126,36,5,2024-07-24,200
127,36,4,2026-03-27,250
128,36,1,2025-06-12,50
129,36,3,2025-02-17,500
130,36,18,2025-10-05,50
131,36,20,2025-10-24,500
132,37,17,2026-02-19,100
133,39,4,2026-01-03,250
134,39,1,2024-01-13,50
135,39,5,2025-05-26,200
136,39,20,2025-02-15,500
137,39,17,2023-11-17,100
138,39,10,2023-12-12,200
139,39,6,2024-03-28,200
140,40,2,2026-02-20,200
141,40,18,2025-10-11,50
142,41,20,2025-10-05,500
143,41,19,2024-02-29,200
144,41,1,2024-05-12,50
145,41,5,2026-02-21,200
146,41,6,2024-09-17,200
147,41,17,2025-04-18,100
148,41,18,2025-04-02,50
149,41,4,2025-02-26,250
150,41,2,2024-02-14,200
151,42,6,2025-12-08,200
152,42,4,2025-12-30,250
153,42,10,2026-02-22,200
154,42,17,2026-04-12,100
155,43,20,2025-09-03,500
156,43,10,2025-07-22,200
157,44,6,2026-03-14,200
158,45,3,2025-10-16,500
159,45,17,2025-08-05,100
160,45,6,2025-11-23,200
161,45,5,2025-09-11,200
162,45,20,2025-09-20,500
163,45,4,2025-12-11,250
164,45,1,2025-07-02,50
165,45,10,2025-11-10,200
166,46,6,2026-04-21,200
167,47,1,2026-01-08,50
168,47,6,2026-04-11,200
169,48,10,2025-10-16,200
170,49,18,2025-12-23,50
171,49,4,2026-03-16,250
172,49,5,2026-03-06,200
173,49,10,2025-10-30,200
174,49,1,2025-11-26,50
175,50,10,2025-06-30,200
176,50,1,2025-10-24,50
177,51,2,2025-04-25,200
178,52,2,2026-04-27,200
179,52,1,2025-04-27,50
180,52,10,2025-03-24,200
181,52,17,2025-12-06,100
182,52,5,2025-03-29,200
183,52,6,2025-04-19,200
184,52,19,2025-07-05,200
185,53,1,2025-11-26,50
186,53,5,2026-04-10,200
187,53,17,2026-04-28,100
188,53,2,2024-12-30,200
189,53,20,2025-01-24,500
190,53,4,2025-03-05,250
191,53,10,2024-10-06,200
192,54,4,2026-02-09,250
193,54,1,2026-02-26,50
194,54,2,2026-02-21,200
195,54,5,2026-03-03,200
196,54,17,2026-03-27,100
197,54,19,2026-03-29,200
198,54,6,2026-04-18,200
199,54,18,2026-04-07,50
200,55,10,2025-04-04,200
201,55,5,2025-01-30,200
202,55,6,2025-08-13,200
203,55,17,2025-07-02,100
204,56,19,2026-04-22,200
205,56,17,2025-12-10,100
206,56,6,2025-09-16,200
207,58,6,2025-09-08,200
208,58,18,2026-03-28,50
209,59,6,2025-09-25,200
210,59,17,2026-03-21,100
211,59,10,2025-09-22,200
212,59,1,2026-04-23,50
213,60,10,2026-03-03,200
214,60,4,2026-04-27,250
215,60,1,2026-01-21,50
216,60,18,2026-01-12,50
217,60,17,2026-01-06,100
218,60,6,2026-01-26,200
219,61,6,2026-04-03,200
220,62,4,2025-12-27,250
221,62,3,2025-11-19,500
222,62,2,2025-12-05,200
223,62,18,2026-02-01,50
224,62,6,2025-12-06,200
225,63,20,2024-10-18,500
226,63,2,2025-10-03,200
227,63,17,2024-04-19,100
228,63,10,2024-11-25,200
229,63,4,2025-06-24,250
230,63,6,2024-10-19,200
231,63,18,2025-03-14,50
232,63,1,2024-08-15,50
233,64,10,2026-01-09,200
234,64,5,2025-12-24,200
235,65,5,2025-06-15,200
236,65,18,2026-02-27,50
237,65,6,2025-02-16,200
238,65,10,2024-09-26,200
239,65,20,2024-08-16,500
240,66,6,2025-08-07,200
241,66,2,2026-03-16,200
242,66,3,2026-03-09,500
243,66,17,2025-07-20,100
244,66,1,2025-12-06,50
245,66,5,2025-09-27,200
246,66,4,2025-10-08,250
247,67,17,2026-04-08,100
248,67,1,2026-04-29,50
249,68,5,2026-04-25,200
250,68,17,2026-02-20,100
251,69,18,2026-04-22,50
252,70,4,2025-10-18,250
253,71,4,2026-02-17,250
254,71,1,2026-02-15,50
255,71,5,2026-04-17,200
256,71,6,2026-03-13,200
257,72,4,2024-09-22,250
258,73,19,2026-04-30,200
259,73,1,2026-03-26,50
260,73,18,2026-05-03,50
261,74,20,2024-11-10,500
262,74,18,2023-11-17,50
263,74,17,2025-11-21,100
264,75,18,2025-11-20,50
265,76,6,2026-01-16,200
266,76,10,2026-02-25,200
267,76,20,2025-03-01,500
268,76,1,2025-06-08,50
269,76,5,2025-04-03,200
270,76,19,2026-02-08,200
271,76,3,2025-11-03,500
272,76,4,2025-01-29,250
273,76,18,2025-09-25,50
274,77,5,2026-01-01,200
275,77,2,2026-01-07,200
276,78,18,2026-04-13,50
277,78,3,2025-03-08,500
278,78,6,2026-02-07,200
279,78,10,2025-04-26,200
280,78,1,2025-08-06,50
281,78,17,2025-01-29,100
282,78,4,2025-10-10,250
283,78,20,2026-04-04,500
284,78,5,2025-11-14,200
285,80,4,2026-02-07,250
286,80,6,2026-04-29,200
287,80,2,2026-02-13,200
288,80,5,2025-12-12,200
289,80,19,2025-07-12,200
290,80,10,2025-11-23,200
291,80,3,2026-02-19,500
292,81,3,2026-02-24,500
293,81,4,2024-09-09,250
294,81,6,2024-09-16,200
295,81,5,2025-01-22,200
296,82,1,2026-05-04,50
297,82,4,2026-03-22,250
298,82,17,2026-04-04,100
299,84,17,2026-01-19,100
300,85,2,2025-08-14,200
301,86,1,2025-06-27,50
302,86,20,2025-01-08,500
303,86,10,2025-12-01,200
304,86,3,2026-03-02,500
305,86,2,2026-01-15,200
306,86,5,2026-01-29,200
307,86,4,2025-10-19,250
308,87,6,2025-04-22,200
309,87,19,2025-10-09,200
310,87,17,2025-09-21,100
311,87,20,2025-03-14,500
312,87,18,2026-04-10,50
313,87,4,2025-02-08,250
314,87,1,2025-01-14,50
315,87,10,2025-06-29,200
316,89,5,2026-03-22,200
317,89,4,2026-02-15,250
318,89,17,2026-02-17,100
319,89,6,2026-04-07,200
320,89,3,2026-04-20,500
321,89,2,2026-02-14,200
322,89,1,2026-05-04,50
323,90,10,2025-07-28,200
324,90,17,2025-11-16,100
325,90,1,2025-08-05,50
326,90,18,2025-11-19,50
327,90,20,2025-07-27,500
328,91,2,2025-07-25,200
329,91,1,2025-07-26,50
330,91,5,2025-10-20,200
331,91,18,2026-03-09,50
332,91,20,2026-02-20,500
333,91,6,2025-08-04,200
334,91,10,2025-11-05,200
335,91,17,2025-11-01,100
336,92,10,2025-12-17,200
337,92,18,2026-02-26,50
338,92,2,2025-12-01,200
339,92,5,2025-12-04,200
340,92,17,2025-12-19,100
341,92,6,2025-09-09,200
342,92,4,2025-11-22,250
343,92,20,2025-12-03,500
344,92,3,2026-04-09,500
345,93,4,2025-10-30,250
346,93,17,2025-08-22,100
347,93,5,2026-01-11,200
348,94,4,2025-05-06,250
349,94,17,2025-11-19,100
350,94,2,2025-10-17,200
351,94,5,2025-12-19,200
352,94,6,2025-02-11,200
353,94,10,2025-09-20,200
354,94,20,2026-02-02,500
355,94,3,2025-07-11,500
356,94,18,2025-10-12,50
357,95,2,2024-09-29,200
358,95,6,2026-03-16,200
359,95,10,2025-08-06,200
360,95,17,2026-04-21,100
361,95,3,2025-11-07,500
362,95,20,2025-06-30,500
363,95,18,2025-11-23,50
364,95,1,2025-09-15,50
365,96,4,2026-04-25,250
366,96,17,2026-04-27,100
367,96,5,2026-04-12,200
368,96,10,2025-09-25,200
369,97,3,2025-01-23,500
370,97,5,2024-10-19,200
371,97,2,2024-11-21,200
372,97,10,2025-08-21,200
373,98,10,2025-01-24,200
374,99,10,2026-03-02,200
375,100,18,2026-04-29,50
376,100,19,2026-04-23,200
377,101,17,2025-04-19,100
378,101,3,2024-08-11,500
379,101,5,2025-12-12,200
380,101,20,2025-11-05,500
381,101,18,2025-06-30,50
382,101,10,2025-02-28,200
383,101,6,2025-02-11,200
384,101,1,2026-02-09,50
385,101,4,2024-10-28,250
386,102,18,2026-04-08,50
387,102,10,2025-12-31,200
388,102,20,2025-10-12,500
389,102,1,2025-02-01,50
390,102,2,2025-07-05,200
391,103,20,2026-04-24,500
392,104,10,2026-01-21,200
393,104,20,2025-08-24,500
394,104,6,2025-11-22,200
395,104,18,2026-02-04,50
396,105,6,2025-12-12,200
397,105,17,2026-03-15,100
398,105,5,2025-09-30,200
399,105,2,2026-03-10,200
400,106,5,2025-01-09,200
401,106,10,2024-06-03,200
402,106,18,2025-03-31,50
403,106,4,2025-05-03,250
404,106,6,2026-03-15,200
405,106,20,2025-04-28,500
406,107,5,2026-02-09,200
407,108,17,2026-02-18,100
408,108,1,2026-02-11,50
409,108,10,2026-03-20,200
410,108,18,2026-04-03,50
411,108,5,2026-03-04,200
412,108,6,2026-02-06,200
413,108,4,2026-04-19,250
414,109,17,2026-03-31,100
415,109,18,2026-04-03,50
416,109,1,2026-04-03,50
417,109,10,2026-03-28,200
418,109,5,2026-04-29,200
419,109,19,2026-03-11,200
420,110,5,2026-02-19,200
421,110,20,2025-10-25,500
422,110,4,2025-07-14,250
423,110,6,2025-10-23,200
424,111,6,2026-02-22,200
425,111,18,2026-01-14,50
426,111,2,2026-04-06,200
427,112,18,2026-03-07,50
428,112,6,2026-01-06,200
429,112,5,2026-01-09,200
430,112,17,2026-04-03,100
431,112,4,2025-04-19,250
432,112,2,2025-11-20,200
433,112,1,2025-07-09,50
434,112,10,2025-05-07,200
435,112,20,2025-08-20,500
436,113,17,2026-01-25,100
437,113,20,2026-01-11,500
438,113,2,2026-04-14,200
439,113,6,2026-03-12,200
440,113,3,2025-11-13,500
441,113,10,2025-07-20,200
442,114,6,2025-04-14,200
443,114,19,2025-06-18,200
444,114,4,2026-01-26,250
445,114,1,2026-01-27,50
446,114,20,2025-04-20,500
447,116,3,2026-02-23,500
448,116,4,2026-01-27,250
449,116,10,2025-11-14,200
450,116,1,2026-01-08,50
451,117,4,2026-02-01,250
452,119,4,2026-01-07,250
453,119,17,2025-11-26,100
454,119,1,2025-12-29,50
455,119,18,2025-01-28,50
456,119,3,2025-06-07,500
457,119,10,2025-05-27,200
458,119,5,2025-07-09,200
459,119,2,2025-09-28,200
460,119,6,2026-03-01,200
461,120,4,2025-11-13,250
462,121,5,2025-10-31,200
463,121,18,2026-03-04,50
464,121,4,2024-02-29,250
465,121,1,2025-03-15,50
466,121,17,2025-12-08,100
467,123,6,2026-04-14,200
468,123,19,2025-08-27,200
469,123,20,2025-09-11,500
470,123,18,2023-12-03,50
471,123,5,2024-12-31,200
472,123,1,2023-12-19,50
473,124,10,2025-10-15,200
474,124,2,2025-06-20,200
475,124,4,2025-09-07,250
476,124,20,2025-11-23,500
477,124,17,2025-03-23,100
478,124,5,2025-07-31,200
479,124,6,2026-01-02,200
480,124,3,2026-01-25,500
481,124,18,2025-07-15,50
482,124,1,2025-05-10,50
483,124,19,2025-08-25,200
484,125,4,2026-04-16,250
485,125,1,2026-04-04,50
486,127,5,2026-02-09,200
487,127,2,2026-01-05,200
488,127,10,2026-04-12,200
489,127,4,2026-02-25,250
490,127,1,2026-04-28,50
491,127,6,2026-01-27,200
492,127,18,2026-01-09,50
493,128,2,2025-04-14,200
494,128,6,2026-02-20,200
495,128,10,2024-12-30,200
496,129,17,2026-02-04,100
497,129,6,2025-11-10,200
498,129,19,2025-11-05,200
499,131,17,2026-03-15,100
500,132,1,2025-12-28,50
501,132,17,2025-11-20,100
502,132,2,2026-03-21,200
503,132,20,2025-12-11,500
504,132,5,2026-01-10,200
505,132,4,2025-12-26,250
506,132,6,2025-09-14,200
507,132,10,2025-11-01,200
508,133,3,2026-01-21,500
509,133,4,2026-03-16,250
510,133,17,2026-03-17,100
511,133,10,2025-12-31,200
512,133,6,2026-03-14,200
513,133,1,2025-12-29,50
514,133,2,2026-02-19,200
515,133,19,2026-02-07,200
516,133,18,2026-04-18,50
517,133,5,2026-04-04,200
518,134,5,2026-04-14,200
519,134,18,2026-04-07,50
520,134,2,2026-02-28,200
521,134,3,2026-01-08,500
522,134,6,2026-01-25,200
523,134,10,2026-03-30,200
524,134,17,2026-01-28,100
525,134,4,2026-02-08,250
526,134,1,2026-01-26,50
527,135,4,2025-07-23,250
528,135,5,2026-04-13,200
529,135,18,2026-03-11,50
530,135,10,2025-09-27,200
531,135,2,2025-02-14,200
532,135,19,2025-09-30,200
533,135,6,2025-11-15,200
534,136,18,2026-05-02,50
535,136,1,2026-05-02,50
536,136,19,2026-05-04,200
537,137,17,2025-09-28,100
538,138,4,2026-05-02,250
539,138,19,2026-04-18,200
540,139,1,2025-04-01,50
541,139,10,2025-03-03,200
542,139,4,2026-02-07,250
543,139,19,2025-01-09,200
544,139,17,2025-10-10,100
545,139,18,2025-05-23,50
546,139,5,2024-12-18,200
547,140,18,2024-02-17,50
548,140,5,2025-12-04,200
549,140,6,2024-08-20,200
550,140,1,2024-04-23,50
551,140,2,2025-05-06,200
552,140,20,2025-12-12,500
553,140,4,2026-02-26,250
554,140,3,2024-12-12,500
555,140,17,2024-01-08,100
556,140,10,2025-12-20,200
557,142,1,2026-03-14,50
558,142,10,2026-03-05,200
559,142,5,2026-01-16,200
560,142,3,2025-12-01,500
561,144,4,2026-04-10,250
562,144,5,2026-04-16,200
563,144,17,2026-04-03,100
564,145,10,2025-07-28,200
565,145,20,2024-11-28,500
566,145,4,2024-12-13,250
567,145,6,2025-12-16,200
568,145,2,2025-05-28,200
569,145,1,2025-05-22,50
570,146,5,2026-03-16,200
571,147,18,2026-04-20,50
572,147,5,2026-05-02,200
573,147,6,2026-04-03,200
574,147,17,2026-04-06,100
575,147,1,2026-04-13,50
576,148,18,2025-11-08,50
577,148,19,2026-03-11,200
578,148,17,2026-03-14,100
579,148,5,2025-11-08,200
580,148,2,2025-09-22,200
581,148,4,2025-09-17,250
582,148,3,2026-01-06,500
583,148,6,2025-10-24,200
584,148,1,2025-10-22,50
585,148,10,2025-09-17,200
586,149,1,2026-04-15,50
587,149,18,2026-05-04,50
588,150,18,2025-04-23,50
589,150,6,2025-09-06,200
590,150,1,2025-05-30,50
591,151,18,2026-03-17,50
592,151,17,2026-04-13,100
593,151,1,2026-04-09,50
594,151,4,2026-02-27,250
595,151,2,2026-04-02,200
596,152,2,2026-04-15,200
597,152,10,2026-02-11,200
598,152,5,2026-01-06,200
599,152,18,2026-04-20,50
600,152,17,2026-04-20,100
601,152,3,2026-03-02,500
602,152,1,2026-04-27,50
603,152,6,2026-03-31,200
604,153,6,2025-05-19,200
605,154,17,2025-12-19,100
606,154,18,2025-04-14,50
607,154,2,2025-08-31,200
608,154,3,2025-12-25,500
609,154,5,2026-04-21,200
610,154,10,2025-10-03,200
611,155,18,2026-04-15,50
612,155,5,2026-04-22,200
613,155,1,2026-02-01,50
614,156,17,2026-04-16,100
615,156,19,2026-03-26,200
616,156,1,2026-04-25,50
617,156,18,2026-04-30,50
618,157,6,2025-10-02,200
619,157,1,2026-01-28,50
620,157,4,2025-10-31,250
621,157,10,2025-05-20,200
622,157,18,2025-06-17,50
623,158,20,2024-09-26,500
624,158,17,2025-06-18,100
625,158,5,2024-11-26,200
626,158,6,2026-03-09,200
627,158,4,2025-02-24,250
628,158,18,2024-10-30,50
629,160,17,2026-03-21,100
630,160,18,2025-12-19,50
631,160,19,2026-04-09,200
632,160,2,2025-09-27,200
633,162,10,2023-06-20,200
634,162,18,2025-03-02,50
635,162,1,2025-05-06,50
636,163,2,2025-03-26,200
637,163,1,2026-02-26,50
638,163,17,2025-07-13,100
639,163,10,2025-09-04,200
640,163,6,2025-03-06,200
641,163,3,2024-09-04,500
642,163,20,2025-05-13,500
643,163,18,2025-09-29,50
644,163,4,2025-08-08,250
645,164,17,2025-09-02,100
646,164,1,2025-08-28,50
647,164,10,2026-04-25,200
648,164,20,2025-06-06,500
649,164,18,2026-04-06,50
650,164,4,2025-11-29,250
651,164,5,2025-09-18,200
652,165,1,2026-04-09,50
653,165,10,2026-04-16,200
654,165,19,2026-04-09,200
655,165,5,2026-04-01,200
656,165,17,2026-04-03,100
657,165,6,2026-04-13,200
658,165,18,2026-04-18,50
659,165,4,2026-04-26,250
660,166,1,2025-12-23,50
661,167,4,2026-03-29,250
662,167,5,2026-05-01,200
663,167,18,2026-04-25,50
664,167,1,2026-04-22,50
665,168,18,2026-04-14,50
666,168,17,2026-03-29,100
667,170,4,2026-03-23,250
668,170,3,2026-03-03,500
669,170,18,2026-03-03,50
670,170,1,2026-04-20,50
671,170,2,2026-04-18,200
672,170,6,2026-03-19,200
673,170,17,2026-04-08,100
674,171,1,2026-04-27,50
675,171,18,2026-04-23,50
676,171,17,2026-05-03,100
677,172,6,2026-02-03,200
678,172,2,2025-07-05,200
679,172,4,2025-10-29,250
680,172,20,2025-11-01,500
681,172,17,2026-05-01,100
682,173,1,2026-03-15,50
683,173,4,2026-03-02,250
684,173,6,2026-02-22,200
685,173,5,2026-04-18,200
686,173,3,2026-04-01,500
687,173,10,2026-04-04,200
688,173,18,2026-02-25,50
689,174,6,2025-03-23,200
690,174,1,2024-07-05,50
691,174,20,2026-01-05,500
692,174,17,2025-03-05,100
693,175,10,2026-03-24,200
694,175,19,2026-04-27,200
695,175,18,2025-12-17,50
696,175,2,2025-12-19,200
697,175,6,2026-04-18,200
698,175,5,2026-03-04,200
699,175,17,2026-03-03,100
700,176,18,2026-03-07,50
701,176,10,2026-02-05,200
702,176,17,2026-02-25,100
703,176,6,2026-02-10,200
704,176,1,2026-02-10,50
705,177,10,2025-10-18,200
706,177,20,2025-06-20,500
707,177,4,2025-06-18,250
708,177,5,2025-07-07,200
709,178,1,2026-01-22,50
710,178,10,2025-11-04,200
711,178,6,2026-02-01,200
712,178,17,2025-11-17,100
713,178,5,2026-02-03,200
714,180,6,2025-12-09,200
715,180,20,2026-03-24,500
716,180,4,2026-04-07,250
717,180,17,2025-07-18,100
718,180,5,2025-12-24,200
719,180,1,2025-07-22,50
720,180,10,2025-06-08,200
721,181,3,2025-08-15,500
722,181,5,2025-08-23,200
723,181,18,2026-04-03,50
724,181,1,2024-11-30,50
725,181,17,2025-01-03,100
726,182,10,2026-04-30,200
727,182,19,2026-02-22,200
728,183,18,2026-05-04,50
729,183,17,2026-05-04,100
730,184,5,2026-04-27,200
731,184,6,2026-03-19,200
732,184,18,2025-09-26,50
733,184,2,2026-03-13,200
734,185,1,2026-05-04,50
735,185,18,2026-04-26,50
736,185,6,2026-04-27,200
737,185,17,2026-04-11,100
738,185,4,2026-04-11,250
739,186,2,2026-02-14,200
740,186,6,2025-12-01,200
741,186,4,2026-04-13,250
742,186,5,2026-03-24,200
743,187,1,2026-03-11,50
744,187,20,2025-11-28,500
745,187,4,2025-09-15,250
746,187,17,2026-01-02,100
747,187,19,2025-07-01,200
748,187,18,2025-10-22,50
749,187,6,2026-04-12,200
750,188,17,2026-02-15,100
751,188,4,2025-02-16,250
752,188,10,2026-04-10,200
753,188,6,2025-05-14,200
754,188,20,2025-08-04,500
755,188,1,2026-04-28,50
756,188,5,2026-03-06,200
757,189,10,2026-01-13,200
758,189,4,2026-02-12,250
759,189,5,2026-04-04,200
760,189,1,2026-04-12,50
761,189,17,2026-04-19,100
762,189,3,2026-01-08,500
763,190,5,2025-04-05,200
764,191,10,2025-07-31,200
765,192,17,2026-03-21,100
766,192,6,2026-04-23,200
767,192,5,2026-03-15,200
768,192,1,2026-04-09,50
769,192,18,2026-02-11,50
770,194,2,2025-12-24,200
771,194,4,2026-03-27,250
772,194,1,2026-04-26,50
773,194,17,2026-04-08,100
774,194,10,2026-02-04,200
775,196,4,2024-09-14,250
776,196,18,2024-12-26,50
777,197,18,2026-03-29,50
778,197,5,2026-01-09,200
779,197,10,2026-04-11,200
780,197,1,2026-03-22,50
781,197,6,2026-01-21,200
782,197,4,2026-04-05,250
783,198,17,2025-12-07,100
784,198,4,2026-04-07,250
785,198,5,2025-12-06,200
786,199,1,2025-12-09,50
787,199,5,2026-04-18,200
788,199,17,2025-12-20,100
789,199,10,2026-04-29,200
790,199,2,2026-05-01,200
791,199,18,2026-03-05,50
792,199,6,2026-01-25,200
793,199,4,2025-12-30,250
794,200,10,2026-02-24,200
795,201,1,2025-12-30,50
796,202,1,2024-11-10,50
797,202,10,2024-11-22,200
798,203,18,2026-03-01,50
799,203,4,2025-09-09,250
800,203,1,2026-02-17,50
801,203,2,2025-11-07,200
802,203,5,2025-07-30,200
803,204,4,2025-06-14,250
804,204,6,2025-11-21,200
805,204,5,2026-04-08,200
806,204,10,2025-12-22,200
807,204,18,2025-11-03,50
808,204,17,2026-02-07,100
809,204,2,2026-03-31,200
810,204,20,2025-09-23,500
811,205,6,2025-08-04,200
812,206,19,2023-08-24,200
813,206,6,2023-08-18,200
814,206,4,2023-06-24,250
815,206,5,2025-07-13,200
816,206,1,2025-03-28,50
817,206,17,2024-10-24,100
818,206,10,2023-09-26,200
819,207,1,2026-02-12,50
820,207,17,2026-04-20,100
821,207,6,2026-04-12,200
822,207,4,2026-04-23,250
823,207,10,2026-04-21,200
824,207,5,2026-03-15,200
825,208,4,2026-01-27,250
826,208,2,2026-04-23,200
827,208,5,2025-12-08,200
828,209,6,2026-04-28,200
829,209,10,2025-11-29,200
830,209,2,2026-04-28,200
831,209,3,2025-12-07,500
832,209,4,2025-10-12,250
833,209,5,2026-03-03,200
834,209,17,2026-04-03,100
835,210,5,2025-07-15,200
836,210,20,2025-07-27,500
837,210,2,2026-02-17,200
838,210,10,2025-12-14,200
839,210,4,2025-08-29,250
840,210,6,2026-04-12,200
841,210,18,2024-08-02,50
842,210,17,2026-04-16,100
843,211,4,2026-05-04,250
844,211,17,2026-02-07,100
845,211,1,2025-11-19,50
846,211,10,2026-03-18,200
847,212,17,2026-04-27,100
848,212,5,2026-04-27,200
849,212,1,2026-04-30,50
850,212,6,2026-04-23,200
851,212,4,2026-04-29,250
852,212,18,2026-04-27,50
853,212,19,2026-04-13,200
854,213,10,2026-04-29,200
855,213,4,2025-10-29,250
856,213,6,2024-11-05,200
857,213,2,2025-07-13,200
858,213,20,2025-07-26,500
859,213,18,2024-12-02,50
860,213,5,2024-07-09,200
861,214,1,2025-06-12,50
862,214,6,2025-08-08,200
863,214,17,2025-09-09,100
864,214,3,2026-01-22,500
865,214,18,2026-03-14,50
866,217,17,2025-04-24,100
867,217,3,2025-01-12,500
868,217,5,2025-02-24,200
869,217,1,2025-10-27,50
870,217,20,2025-10-13,500
871,217,18,2025-06-05,50
872,217,10,2025-03-31,200
873,217,6,2025-11-21,200
874,217,2,2025-03-08,200
875,218,10,2025-11-06,200
876,218,5,2025-10-21,200
877,218,6,2025-12-27,200
878,218,2,2026-02-27,200
879,218,1,2025-08-06,50
880,218,3,2026-01-04,500
881,218,19,2026-03-30,200
882,218,18,2025-05-24,50
883,218,20,2026-01-24,500
884,219,6,2025-05-09,200
885,219,3,2026-04-02,500
886,219,4,2025-07-06,250
887,219,20,2026-01-02,500
888,219,5,2026-03-10,200
889,219,10,2026-01-27,200
890,219,2,2025-11-25,200
891,219,1,2025-05-29,50
892,219,18,2026-02-03,50
893,219,17,2025-06-01,100
894,221,5,2026-03-17,200
895,222,17,2025-05-28,100
896,222,4,2025-05-19,250
897,222,10,2025-04-05,200
898,223,20,2025-12-23,500
899,224,6,2026-03-22,200
900,224,4,2026-03-16,250
901,224,5,2024-10-04,200
902,224,10,2024-10-27,200
903,224,18,2024-10-19,50
904,224,1,2024-12-29,50
905,224,17,2025-11-10,100
906,224,19,2026-03-07,200
907,224,2,2025-12-18,200
908,224,20,2024-12-30,500
909,225,4,2025-04-23,250
910,226,2,2024-09-30,200
911,226,10,2024-09-05,200
912,226,1,2024-09-23,50
913,226,6,2025-07-11,200
914,226,17,2023-11-02,100
915,226,4,2025-11-09,250
916,227,4,2026-03-12,250
917,227,5,2026-01-04,200
918,227,6,2026-01-08,200
919,227,18,2026-02-06,50
920,227,1,2026-01-13,50
921,227,19,2026-03-22,200
922,228,1,2025-08-28,50
923,228,20,2025-03-02,500
924,229,17,2023-08-15,100
925,229,2,2023-07-28,200
926,229,1,2023-09-20,50
927,230,5,2026-04-30,200
928,230,2,2025-12-25,200
