aanwezigheid_id,deelname_id,medewerker_id,activiteit_id,check_in_tijd,check_out_tijd,werkelijke_duur_min,geschatte_calorieen,hartslag_gem,hartslag_piek
31,37,178,6,2025-11-03 12:12:00,2025-11-03 13:53:24,101.4,135,98,130
32,38,98,6,2025-11-03 12:21:00,2025-11-03 13:55:36,94.6,126,106,123
33,39,58,6,2025-11-03 12:14:00,2025-11-03 13:41:18,87.3,116,104,129
34,40,81,6,2025-11-03 12:06:00,2025-11-03 13:45:00,99.0,132,102,136
35,41,135,6,2025-11-03 12:26:00,2025-11-03 13:50:24,84.4,112,103,132
36,54,184,8,2025-11-08 09:44:00,2025-11-08 11:03:36,79.6,955,143,158
37,55,29,8,2025-11-08 09:38:00,2025-11-08 10:47:00,69.0,828,151,169
38,56,142,8,2025-11-08 09:39:00,2025-11-08 10:56:18,77.3,927,122,
39,57,206,8,2025-11-08 10:00:00,2025-11-08 11:08:06,68.1,817,121,149
40,58,160,8,2025-11-08 09:42:00,2025-11-08 11:05:24,83.4,1000,123,147
41,59,124,9,2025-11-06 18:44:00,2025-11-06 19:28:54,44.9,493,,144
42,60,217,9,2025-11-06 18:23:00,2025-11-06 19:04:06,41.1,452,136,171
43,61,78,9,2025-11-06 18:44:00,2025-11-06 19:35:06,51.1,562,139,174
44,63,213,9,2025-11-06 18:32:00,2025-11-06 19:20:12,48.2,530,140,172
45,65,145,9,2025-11-06 18:43:00,2025-11-06 19:28:12,45.2,497,121,146
46,66,200,9,2025-11-06 18:35:00,2025-11-06 19:19:48,44.8,492,128,158
47,67,114,9,2025-11-06 18:27:00,2025-11-06 19:19:00,52.0,572,113,137
48,70,49,9,2025-11-06 18:27:00,2025-11-06 19:11:12,44.2,486,119,134
49,72,85,9,2025-11-06 18:38:00,2025-11-06 19:21:30,43.5,478,131,155
50,73,191,9,2025-11-06 18:25:00,2025-11-06 19:09:54,44.9,493,122,149
51,75,62,9,2025-11-06 18:25:00,2025-11-06 19:16:36,51.6,567,113,125
52,77,135,9,2025-11-06 18:30:00,2025-11-06 19:20:00,50.0,550,120,149
53,78,37,10,2025-11-05 16:54:00,2025-11-05 18:07:12,73.2,610,132,148
54,79,157,10,2025-11-05 16:59:00,2025-11-05 18:10:06,71.1,592,124,157
55,80,184,10,2025-11-05 17:10:00,2025-11-05 18:22:00,72.0,600,124,159
56,81,76,10,2025-11-05 17:05:00,2025-11-05 18:25:24,80.4,670,129,149
57,83,87,10,2025-11-05 17:01:00,2025-11-05 18:19:36,78.6,654,111,132
58,85,214,10,2025-11-05 17:03:00,2025-11-05 18:10:48,67.8,565,135,170
59,86,43,10,2025-11-05 17:00:00,2025-11-05 18:17:42,77.7,647,127,153
60,87,29,10,2025-11-05 17:12:00,2025-11-05 18:19:24,67.4,561,136,146
61,88,63,11,2025-11-03 18:23:00,2025-11-03 19:05:06,42.1,488,,
62,89,184,11,2025-11-03 18:10:00,2025-11-03 19:00:00,50.0,580,130,164
63,91,158,11,2025-11-03 18:11:00,2025-11-03 19:00:12,49.2,570,119,136
64,92,76,11,2025-11-03 18:27:00,2025-11-03 19:10:48,43.8,508,151,184
65,93,166,11,2025-11-03 18:25:00,2025-11-03 19:03:36,38.6,447,129,145
66,95,58,11,2025-11-03 18:08:00,2025-11-03 18:52:48,44.8,519,,148
67,96,190,11,2025-11-03 18:20:00,2025-11-03 18:57:18,37.3,432,135,166
68,97,39,11,2025-11-03 18:10:00,2025-11-03 18:51:36,41.6,482,132,148
69,101,132,13,2025-11-03 12:03:00,2025-11-03 13:21:54,78.9,915,130,150
70,102,35,13,2025-11-03 11:52:00,2025-11-03 13:11:48,79.8,925,121,
71,103,123,13,2025-11-03 11:55:00,2025-11-03 13:00:36,65.6,760,119,142
72,104,166,13,2025-11-03 12:08:00,2025-11-03 13:25:00,77.0,893,144,
73,106,18,13,2025-11-03 11:59:00,2025-11-03 13:20:00,81.0,939,123,158
74,107,24,13,2025-11-03 12:11:00,2025-11-03 13:31:12,80.2,930,148,183
75,108,36,13,2025-11-03 11:56:00,2025-11-03 13:11:30,75.5,875,131,142
76,109,186,14,2025-11-08 11:25:00,2025-11-08 12:25:12,60.2,451,134,161
77,110,72,14,2025-11-08 11:24:00,2025-11-08 12:16:06,52.1,390,125,157
78,112,105,14,2025-11-08 11:33:00,2025-11-08 12:27:42,54.7,410,126,154
79,113,184,14,2025-11-08 11:20:00,2025-11-08 12:17:48,57.8,433,125,155
80,114,114,14,2025-11-08 11:35:00,2025-11-08 12:31:36,56.6,424,107,130
81,115,62,14,2025-11-08 11:38:00,2025-11-08 12:35:36,57.6,432,102,122
82,116,14,14,2025-11-08 11:24:00,2025-11-08 12:22:12,58.2,436,120,141
83,125,17,16,2025-11-06 17:13:00,2025-11-06 18:00:06,47.1,238,113,127
84,126,188,16,2025-11-06 16:51:00,2025-11-06 17:31:24,40.4,204,114,149
85,127,90,16,2025-11-06 17:15:00,2025-11-06 17:58:00,43.0,217,,160
86,129,129,16,2025-11-06 17:07:00,2025-11-06 17:51:12,44.2,223,126,145
87,130,15,17,2025-11-09 15:22:00,2025-11-09 16:35:00,73.0,584,114,146
88,131,112,17,2025-11-09 15:41:00,2025-11-09 16:47:48,66.8,534,114,136
89,132,202,17,2025-11-09 15:35:00,2025-11-09 16:36:18,61.3,490,124,149
90,133,128,17,2025-11-09 15:39:00,2025-11-09 16:37:18,58.3,466,138,162
91,134,98,17,2025-11-09 15:41:00,2025-11-09 16:35:36,54.6,436,138,167
92,135,81,17,2025-11-09 15:43:00,2025-11-09 16:38:42,55.7,445,121,134
93,137,87,17,2025-11-09 15:22:00,2025-11-09 16:26:42,64.7,517,124,140
94,139,101,17,2025-11-09 15:34:00,2025-11-09 16:37:54,63.9,511,130,159
95,142,104,18,2025-11-05 17:02:00,2025-11-05 18:19:30,77.5,1265,135,163
96,143,154,18,2025-11-05 16:57:00,2025-11-05 18:10:00,73.0,1192,138,149
97,144,117,18,2025-11-05 17:05:00,2025-11-05 18:15:42,70.7,1154,124,135
98,173,135,21,2025-11-10 18:53:00,2025-11-10 19:48:00,55.0,440,121,
99,174,39,21,2025-11-10 18:45:00,2025-11-10 19:36:54,51.9,415,120,137
100,175,123,21,2025-11-10 18:37:00,2025-11-10 19:13:42,36.7,293,103,131
101,176,157,21,2025-11-10 18:35:00,2025-11-10 19:22:00,47.0,376,118,134
102,177,211,21,2025-11-10 18:58:00,2025-11-10 19:46:12,48.2,385,105,119
103,179,154,22,2025-11-14 12:23:00,2025-11-14 13:53:06,90.1,567,121,152
104,180,48,22,2025-11-14 12:26:00,2025-11-14 13:58:18,92.3,581,,143
105,181,135,22,2025-11-14 12:39:00,2025-11-14 14:09:12,90.2,568,117,132
106,182,74,22,2025-11-14 12:24:00,2025-11-14 13:54:48,90.8,572,109,142
107,183,52,22,2025-11-14 12:45:00,2025-11-14 14:11:12,86.2,543,115,139
108,184,131,22,2025-11-14 12:44:00,2025-11-14 14:09:12,85.2,536,130,
109,185,50,22,2025-11-14 12:45:00,2025-11-14 14:13:42,88.7,558,101,128
110,186,86,22,2025-11-14 12:37:00,2025-11-14 14:12:00,95.0,598,130,149
111,194,14,24,2025-11-12 07:06:00,2025-11-12 08:00:18,54.3,99,105,115
112,196,204,24,2025-11-12 07:23:00,2025-11-12 08:11:30,48.5,88,103,128
113,197,131,25,2025-11-13 12:16:00,2025-11-13 13:49:12,93.2,745,124,154
114,198,123,25,2025-11-13 12:25:00,2025-11-13 14:01:18,96.3,770,109,128
115,200,148,26,2025-11-15 14:04:00,2025-11-15 15:30:42,86.7,439,123,147
116,201,200,26,2025-11-15 14:11:00,2025-11-15 15:39:42,88.7,449,120,
117,202,97,26,2025-11-15 13:54:00,2025-11-15 15:31:12,97.2,492,119,138
118,204,45,27,2025-11-16 14:49:00,2025-11-16 16:00:06,71.1,533,133,154
119,206,43,27,2025-11-16 14:54:00,2025-11-16 15:50:36,56.6,424,135,147
120,207,110,27,2025-11-16 14:43:00,2025-11-16 15:43:42,60.7,455,124,141
121,209,157,27,2025-11-16 14:49:00,2025-11-16 15:45:42,56.7,425,132,
122,210,200,27,2025-11-16 14:37:00,2025-11-16 15:39:00,62.0,465,134,161
123,212,184,27,2025-11-16 14:35:00,2025-11-16 15:40:24,65.4,490,122,132
124,215,62,28,2025-11-14 18:21:00,2025-11-14 19:19:42,58.7,107,102,132
125,216,113,28,2025-11-14 18:07:00,2025-11-14 18:55:18,48.3,88,116,140
126,218,172,28,2025-11-14 18:06:00,2025-11-14 18:56:12,50.2,92,115,137
127,219,85,28,2025-11-14 18:21:00,2025-11-14 19:00:30,39.5,72,110,124
128,220,35,29,2025-11-11 18:23:00,2025-11-11 19:40:36,77.6,582,120,134
129,229,114,31,2025-11-10 12:15:00,2025-11-10 13:20:48,65.8,131,96,115
130,230,101,31,2025-11-10 11:56:00,2025-11-10 12:58:42,62.7,125,110,134
131,231,15,31,2025-11-10 12:14:00,2025-11-10 13:04:18,50.3,100,114,136
132,232,120,31,2025-11-10 11:58:00,2025-11-10 12:53:12,55.2,110,125,141
133,234,116,31,2025-11-10 11:54:00,2025-11-10 12:54:36,60.6,121,100,111
134,235,124,31,2025-11-10 12:12:00,2025-11-10 13:11:00,59.0,118,111,130
135,236,94,31,2025-11-10 12:05:00,2025-11-10 13:11:24,66.4,132,114,148
136,238,113,31,2025-11-10 12:07:00,2025-11-10 13:00:06,53.1,106,,135
137,239,86,31,2025-11-10 12:12:00,2025-11-10 13:22:42,70.7,141,115,141
138,241,92,31,2025-11-10 11:59:00,2025-11-10 13:05:42,66.7,133,105,115
139,260,214,33,2025-11-12 19:22:00,2025-11-12 20:42:48,80.8,700,125,156
140,261,218,33,2025-11-12 19:27:00,2025-11-12 20:39:00,72.0,624,120,134
141,262,26,33,2025-11-12 19:23:00,2025-11-12 20:37:36,74.6,646,130,152
142,263,101,33,2025-11-12 19:24:00,2025-11-12 20:39:30,75.5,654,123,158
143,264,55,33,2025-11-12 19:08:00,2025-11-12 20:20:12,72.2,625,123,143
144,265,40,33,2025-11-12 19:06:00,2025-11-12 20:18:24,72.4,627,148,161
145,266,35,34,2025-11-11 11:52:00,2025-11-11 13:22:48,90.8,756,116,150
146,268,99,34,2025-11-11 12:15:00,2025-11-11 13:49:54,94.9,790,,
147,270,97,34,2025-11-11 12:04:00,2025-11-11 13:37:48,93.8,781,128,154
148,271,196,34,2025-11-11 12:07:00,2025-11-11 13:34:36,87.6,730,130,145
149,272,174,34,2025-11-11 11:55:00,2025-11-11 13:31:06,96.1,800,105,126
150,273,70,34,2025-11-11 12:05:00,2025-11-11 13:38:30,93.5,779,112,132
151,274,181,34,2025-11-11 11:51:00,2025-11-11 13:23:54,92.9,774,127,150
152,275,206,34,2025-11-11 12:10:00,2025-11-11 13:42:30,92.5,770,118,151
153,276,154,34,2025-11-11 11:52:00,2025-11-11 13:19:36,87.6,730,114,145
154,283,105,36,2025-11-13 17:44:00,2025-11-13 18:26:30,42.5,255,122,155
155,284,86,37,2025-11-10 17:32:00,2025-11-10 18:58:24,86.4,720,129,147
156,285,48,37,2025-11-10 17:42:00,2025-11-10 19:12:36,90.6,755,109,134
157,286,139,37,2025-11-10 17:44:00,2025-11-10 19:18:00,94.0,783,135,166
158,288,45,37,2025-11-10 17:25:00,2025-11-10 18:55:30,90.5,754,137,151
159,289,132,37,2025-11-10 17:31:00,2025-11-10 18:57:54,86.9,724,115,139
160,290,196,37,2025-11-10 17:28:00,2025-11-10 18:54:48,86.8,723,131,166
161,291,95,38,2025-11-12 12:41:00,2025-11-12 14:15:48,94.8,789,139,150
162,292,105,38,2025-11-12 13:00:00,2025-11-12 14:39:42,99.7,830,123,155
163,293,211,39,2025-11-20 12:22:00,2025-11-20 13:54:24,92.4,800,107,
164,294,106,39,2025-11-20 12:17:00,2025-11-20 13:52:00,95.0,823,121,148
165,295,127,39,2025-11-20 12:24:00,2025-11-20 13:54:42,90.7,786,110,
166,296,121,39,2025-11-20 12:17:00,2025-11-20 13:48:12,91.2,790,110,121
167,297,55,39,2025-11-20 12:26:00,2025-11-20 13:49:48,83.8,726,120,147
168,298,153,39,2025-11-20 12:30:00,2025-11-20 13:55:24,85.4,740,,147
169,299,178,39,2025-11-20 12:09:00,2025-11-20 13:36:42,87.7,760,124,152
170,300,75,40,2025-11-20 07:46:00,2025-11-20 08:53:36,67.6,90,114,140
171,301,205,40,2025-11-20 07:55:00,2025-11-20 09:13:06,78.1,104,,102
172,302,110,40,2025-11-20 07:58:00,2025-11-20 09:21:48,83.8,111,115,
173,303,47,40,2025-11-20 07:44:00,2025-11-20 08:52:36,68.6,91,112,123
174,304,98,41,2025-11-21 12:24:00,2025-11-21 12:52:30,28.5,313,128,147
175,305,217,41,2025-11-21 12:21:00,2025-11-21 12:54:00,33.0,363,133,165
176,306,114,41,2025-11-21 12:23:00,2025-11-21 12:52:54,29.9,328,110,143
177,307,106,41,2025-11-21 12:20:00,2025-11-21 12:38:48,18.8,206,117,150
178,308,120,41,2025-11-21 12:27:00,2025-11-21 12:57:06,30.1,331,136,154
179,309,158,42,2025-11-18 17:39:00,2025-11-18 18:20:36,41.6,499,,143
180,310,92,42,2025-11-18 17:47:00,2025-11-18 18:33:30,46.5,558,,152
181,311,200,42,2025-11-18 17:35:00,2025-11-18 18:21:30,46.5,558,139,152
182,312,17,42,2025-11-18 17:59:00,2025-11-18 18:49:18,50.3,603,128,
183,313,40,42,2025-11-18 17:42:00,2025-11-18 18:34:48,52.8,633,142,177
184,314,148,42,2025-11-18 17:54:00,2025-11-18 18:30:12,36.2,434,134,167
185,315,29,42,2025-11-18 17:55:00,2025-11-18 18:37:00,42.0,504,136,170
186,316,214,42,2025-11-18 17:54:00,2025-11-18 18:39:30,45.5,546,139,169
187,317,205,42,2025-11-18 17:50:00,2025-11-18 18:24:36,34.6,415,122,132
188,318,41,42,2025-11-18 17:35:00,2025-11-18 18:23:42,48.7,584,113,140
189,320,78,42,2025-11-18 18:00:00,2025-11-18 18:48:24,48.4,580,128,158
190,321,36,42,2025-11-18 17:46:00,2025-11-18 18:34:06,48.1,577,137,152
191,324,10,42,2025-11-18 17:51:00,2025-11-18 18:41:12,50.2,602,125,143
192,325,160,42,2025-11-18 17:53:00,2025-11-18 18:43:42,50.7,608,132,158
193,326,34,42,2025-11-18 17:57:00,2025-11-18 18:43:24,46.4,556,115,128
194,328,140,43,2025-11-20 18:03:00,2025-11-20 19:06:24,63.4,437,102,129
195,329,113,43,2025-11-20 18:14:00,2025-11-20 19:07:42,53.7,370,126,153
196,330,128,43,2025-11-20 18:09:00,2025-11-20 19:07:06,58.1,400,136,156
197,331,97,43,2025-11-20 17:55:00,2025-11-20 18:59:18,64.3,443,130,159
198,332,45,43,2025-11-20 17:52:00,2025-11-20 18:50:06,58.1,400,,150
199,333,66,43,2025-11-20 17:53:00,2025-11-20 18:51:54,58.9,406,134,156
200,339,157,45,2025-11-21 17:17:00,2025-11-21 18:44:30,87.5,551,118,133
201,341,75,45,2025-11-21 17:25:00,2025-11-21 19:01:54,96.9,610,130,163
202,343,95,45,2025-11-21 17:07:00,2025-11-21 18:41:48,94.8,597,137,167
203,344,12,45,2025-11-21 17:26:00,2025-11-21 18:56:48,90.8,572,126,142
204,345,162,45,2025-11-21 17:18:00,2025-11-21 18:42:30,84.5,532,140,
205,347,187,46,2025-11-23 10:11:00,2025-11-23 10:44:00,33.0,33,102,133
206,348,35,46,2025-11-23 10:15:00,2025-11-23 10:39:48,24.8,24,113,130
207,349,26,46,2025-11-23 10:07:00,2025-11-23 10:36:12,29.2,29,112,145
208,350,84,46,2025-11-23 10:03:00,2025-11-23 10:20:00,17.0,17,130,149
209,351,219,46,2025-11-23 09:51:00,2025-11-23 10:24:48,33.8,33,103,114
210,352,196,46,2025-11-23 10:14:00,2025-11-23 10:38:30,24.5,24,108,129
211,354,209,46,2025-11-23 10:02:00,2025-11-23 10:35:42,33.7,33,91,102
212,355,158,46,2025-11-23 09:59:00,2025-11-23 10:36:06,37.1,37,107,121
213,356,186,46,2025-11-23 10:10:00,2025-11-23 10:44:30,34.5,34,111,139
214,357,103,46,2025-11-23 10:09:00,2025-11-23 10:37:48,28.8,28,120,146
215,358,35,47,2025-11-22 11:45:00,2025-11-22 13:04:30,79.5,662,123,
216,359,123,47,2025-11-22 11:37:00,2025-11-22 12:54:48,77.8,648,112,125
217,360,132,47,2025-11-22 11:42:00,2025-11-22 12:54:30,72.5,604,118,152
218,362,80,47,2025-11-22 11:31:00,2025-11-22 12:47:24,76.4,636,126,149
219,363,14,47,2025-11-22 11:42:00,2025-11-22 12:55:18,73.3,610,125,153
220,368,164,49,2025-11-19 07:58:00,2025-11-19 08:43:48,45.8,615,125,158
221,369,72,49,2025-11-19 07:49:00,2025-11-19 08:33:48,44.8,601,132,
222,371,175,49,2025-11-19 07:35:00,2025-11-19 08:18:24,43.4,583,121,148
223,373,116,49,2025-11-19 07:58:00,2025-11-19 08:47:42,49.7,667,119,133
224,374,90,49,2025-11-19 07:37:00,2025-11-19 08:16:12,39.2,526,,164
225,375,181,49,2025-11-19 07:44:00,2025-11-19 08:29:54,45.9,616,144,172
226,376,62,50,2025-11-20 12:11:00,2025-11-20 13:22:42,71.7,762,117,129
227,378,53,50,2025-11-20 11:51:00,2025-11-20 13:02:48,71.8,763,111,
228,379,206,50,2025-11-20 12:02:00,2025-11-20 13:09:36,67.6,718,117,149
229,382,84,51,2025-11-22 14:22:00,2025-11-22 15:22:18,60.3,482,142,160
230,383,45,51,2025-11-22 14:40:00,2025-11-22 15:40:36,60.6,484,134,166
231,384,210,51,2025-11-22 14:43:00,2025-11-22 15:42:30,59.5,476,125,141
232,386,93,51,2025-11-22 14:43:00,2025-11-22 15:45:54,62.9,503,,140
233,387,128,51,2025-11-22 14:23:00,2025-11-22 15:18:18,55.3,442,130,
234,388,206,51,2025-11-22 14:27:00,2025-11-22 15:26:00,59.0,472,111,146
235,398,78,53,2025-11-20 12:25:00,2025-11-20 13:21:18,56.3,103,119,135
236,399,208,53,2025-11-20 12:10:00,2025-11-20 13:13:06,63.1,115,116,139
237,400,41,53,2025-11-20 12:21:00,2025-11-20 13:22:30,61.5,112,98,131
238,401,26,53,2025-11-20 12:18:00,2025-11-20 13:20:18,62.3,114,113,125
239,402,178,53,2025-11-20 12:15:00,2025-11-20 13:13:54,58.9,107,104,131
240,404,10,54,2025-11-19 12:41:00,2025-11-19 13:14:12,33.2,33,104,137
241,405,123,54,2025-11-19 12:29:00,2025-11-19 13:00:06,31.1,31,96,
242,406,178,54,2025-11-19 12:44:00,2025-11-19 13:07:54,23.9,23,112,147
243,407,104,54,2025-11-19 12:44:00,2025-11-19 13:09:12,25.2,25,111,146
244,409,105,54,2025-11-19 12:22:00,2025-11-19 12:49:42,27.7,27,,134
245,410,29,54,2025-11-19 12:44:00,2025-11-19 13:22:54,38.9,38,,141
246,412,158,54,2025-11-19 12:28:00,2025-11-19 13:01:30,33.5,33,102,116
247,413,162,54,2025-11-19 12:42:00,2025-11-19 13:09:24,27.4,27,116,149
248,414,123,55,2025-11-23 09:38:00,2025-11-23 11:04:36,86.6,649,111,135
249,415,154,55,2025-11-23 09:34:00,2025-11-23 11:05:06,91.1,683,125,157
250,416,166,55,2025-11-23 09:38:00,2025-11-23 11:09:18,91.3,684,131,166
251,417,24,55,2025-11-23 09:22:00,2025-11-23 10:48:12,86.2,646,135,150
252,418,137,55,2025-11-23 09:42:00,2025-11-23 11:14:12,92.2,691,146,161
253,419,90,55,2025-11-23 09:40:00,2025-11-23 11:04:12,84.2,631,142,162
254,421,94,55,2025-11-23 09:31:00,2025-11-23 11:04:06,93.1,698,123,
255,422,76,55,2025-11-23 09:31:00,2025-11-23 10:55:36,84.6,634,,158
256,423,45,55,2025-11-23 09:30:00,2025-11-23 11:11:18,101.3,759,,148
257,424,105,55,2025-11-23 09:31:00,2025-11-23 10:56:00,85.0,637,,146
258,425,114,55,2025-11-23 09:41:00,2025-11-23 11:14:48,93.8,703,113,123
259,426,117,55,2025-11-23 09:30:00,2025-11-23 11:07:42,97.7,732,106,140
260,428,160,55,2025-11-23 09:35:00,2025-11-23 11:06:18,91.3,684,,148
261,430,11,55,2025-11-23 09:25:00,2025-11-23 10:50:30,85.5,641,,156
262,432,119,56,2025-11-18 12:36:00,2025-11-18 13:41:36,65.6,697,136,159
263,433,199,56,2025-11-18 12:29:00,2025-11-18 13:47:54,78.9,838,133,153
264,434,120,56,2025-11-18 12:29:00,2025-11-18 13:39:42,70.7,751,,167
265,435,96,56,2025-11-18 12:28:00,2025-11-18 13:45:18,77.3,821,117,141
266,436,43,56,2025-11-18 12:28:00,2025-11-18 13:51:00,83.0,882,138,173
267,438,209,56,2025-11-18 12:30:00,2025-11-18 13:42:06,72.1,766,117,141
268,439,210,56,2025-11-18 12:27:00,2025-11-18 13:45:18,78.3,832,130,149
269,440,102,56,2025-11-18 12:38:00,2025-11-18 13:50:18,72.3,768,,146
270,441,190,56,2025-11-18 12:42:00,2025-11-18 14:00:12,78.2,831,128,
271,442,11,56,2025-11-18 12:23:00,2025-11-18 13:38:12,75.2,799,119,148
272,443,15,57,2025-11-19 17:40:00,2025-11-19 19:08:54,88.9,118,113,138
273,444,87,57,2025-11-19 17:55:00,2025-11-19 19:26:48,91.8,122,100,111
274,445,70,57,2025-11-19 17:47:00,2025-11-19 19:17:30,90.5,120,,115
275,446,15,58,2025-11-17 17:27:00,2025-11-17 18:18:06,51.1,102,,138
276,448,142,58,2025-11-17 17:21:00,2025-11-17 17:53:42,32.7,65,105,134
277,449,58,58,2025-11-17 17:21:00,2025-11-17 18:11:06,50.1,100,102,122
278,450,140,58,2025-11-17 17:16:00,2025-11-17 17:59:00,43.0,86,107,131
279,451,208,58,2025-11-17 17:17:00,2025-11-17 18:02:54,45.9,91,105,135
280,452,172,58,2025-11-17 17:05:00,2025-11-17 17:50:24,45.4,90,114,141
281,453,150,58,2025-11-17 17:30:00,2025-11-17 18:22:42,52.7,105,112,141
282,454,53,58,2025-11-17 17:26:00,2025-11-17 18:19:36,53.6,107,100,118
283,455,153,58,2025-11-17 17:06:00,2025-11-17 17:52:18,46.3,92,124,135
284,456,217,58,2025-11-17 17:07:00,2025-11-17 17:48:18,41.3,82,114,147
285,457,120,58,2025-11-17 17:12:00,2025-11-17 17:49:30,37.5,75,120,
286,458,205,58,2025-11-17 17:13:00,2025-11-17 17:58:12,45.2,90,,124
287,460,77,59,2025-11-23 09:12:00,2025-11-23 10:33:24,81.4,705,121,140
288,461,162,59,2025-11-23 09:21:00,2025-11-23 10:36:36,75.6,655,122,148
289,462,116,60,2025-11-20 19:35:00,2025-11-20 21:07:48,92.8,556,107,139
290,463,119,60,2025-11-20 19:51:00,2025-11-20 21:17:36,86.6,519,133,144
291,464,10,60,2025-11-20 19:51:00,2025-11-20 21:16:12,85.2,511,123,136
292,465,99,60,2025-11-20 20:00:00,2025-11-20 21:32:36,92.6,555,128,153
293,466,127,61,2025-11-18 19:55:00,2025-11-18 21:22:48,87.8,731,110,143
294,467,35,61,2025-11-18 19:54:00,2025-11-18 21:18:42,84.7,705,126,153
295,468,132,61,2025-11-18 19:52:00,2025-11-18 21:25:00,93.0,775,122,153
296,469,99,61,2025-11-18 19:53:00,2025-11-18 21:30:18,97.3,810,127,158
297,470,177,61,2025-11-18 19:35:00,2025-11-18 21:03:24,88.4,736,116,146
298,471,53,61,2025-11-18 19:46:00,2025-11-18 21:20:54,94.9,790,115,132
299,474,62,61,2025-11-18 19:42:00,2025-11-18 21:12:06,90.1,750,108,
300,476,139,61,2025-11-18 19:38:00,2025-11-18 21:03:42,85.7,714,136,155
301,477,114,62,2025-11-23 09:54:00,2025-11-23 10:35:18,41.3,581,117,142
302,479,35,62,2025-11-23 09:58:00,2025-11-23 10:39:12,41.2,580,122,
303,480,106,62,2025-11-23 09:39:00,2025-11-23 10:18:54,39.9,561,132,161
304,481,206,62,2025-11-23 09:47:00,2025-11-23 10:20:30,33.5,471,122,147
305,483,187,63,2025-11-27 17:36:00,2025-11-27 18:16:06,40.1,320,108,133
306,484,175,63,2025-11-27 17:39:00,2025-11-27 18:24:24,45.4,363,123,133
307,485,62,63,2025-11-27 17:49:00,2025-11-27 18:41:30,52.5,420,112,134
308,487,96,63,2025-11-27 17:37:00,2025-11-27 18:20:18,43.3,346,116,135
309,488,140,64,2025-11-30 10:07:00,2025-11-30 11:15:54,68.9,925,127,159
310,489,188,64,2025-11-30 09:53:00,2025-11-30 11:19:18,86.3,1159,130,141
311,490,174,64,2025-11-30 10:13:00,2025-11-30 11:26:18,73.3,984,118,148
312,491,87,64,2025-11-30 10:11:00,2025-11-30 11:26:36,75.6,1015,129,
313,492,19,64,2025-11-30 09:57:00,2025-11-30 11:19:48,82.8,1112,122,152
314,493,14,64,2025-11-30 10:07:00,2025-11-30 11:09:48,62.8,843,125,155
315,495,191,64,2025-11-30 09:52:00,2025-11-30 11:09:30,77.5,1041,126,149
