ranglijst_id,organisatie_id,medewerker_id,week_startdatum,rang,totaal_punten,activiteiten_bijgewoond,actieve_minuten
156,1,40,2025-12-22,16,60,1,50
157,1,219,2025-12-22,17,60,1,52
158,1,91,2025-12-22,18,59,1,48
159,1,188,2025-12-22,19,59,1,47
160,1,75,2025-12-22,20,58,1,44
161,1,35,2025-12-29,1,193,3,218
162,1,133,2025-12-29,2,126,2,134
163,1,66,2025-12-29,3,120,2,100
164,1,98,2025-12-29,4,119,2,99
165,1,36,2025-12-29,5,72,1,112
166,1,81,2025-12-29,6,72,1,114
167,1,123,2025-12-29,7,72,1,112
168,1,63,2025-12-29,8,71,1,106
169,1,80,2025-12-29,9,71,1,108
170,1,99,2025-12-29,10,71,1,105
171,1,150,2025-12-29,11,71,1,108
172,1,177,2025-12-29,12,71,1,109
173,1,196,2025-12-29,13,71,1,105
174,1,139,2025-12-29,14,70,1,104
175,1,200,2025-12-29,15,70,1,100
176,1,213,2025-12-29,16,70,1,102
177,1,17,2025-12-29,17,69,1,97
178,1,26,2025-12-29,18,68,1,93
179,1,206,2025-12-29,19,65,1,76
180,1,41,2025-12-29,20,64,1,70
181,1,204,2026-01-05,1,191,3,206
182,1,104,2026-01-05,2,190,3,201
183,1,114,2026-01-05,3,184,3,171
184,1,140,2026-01-05,4,180,3,154
185,1,11,2026-01-05,5,179,3,148
186,1,111,2026-01-05,6,130,2,151
187,1,208,2026-01-05,7,130,2,151
188,1,62,2026-01-05,8,127,2,138
189,1,172,2026-01-05,9,126,2,134
190,1,30,2026-01-05,10,125,2,125
191,1,72,2026-01-05,11,125,2,125
192,1,76,2026-01-05,12,125,2,127
193,1,105,2026-01-05,13,125,2,127
194,1,120,2026-01-05,14,125,2,129
195,1,119,2026-01-05,15,124,2,121
196,1,14,2026-01-05,16,123,2,117
197,1,43,2026-01-05,17,123,2,115
198,1,68,2026-01-05,18,123,2,118
199,1,102,2026-01-05,19,123,2,115
200,1,78,2026-01-05,20,121,2,105
201,1,117,2026-01-12,1,248,4,243
202,1,60,2026-01-12,2,198,3,241
203,1,40,2026-01-12,3,196,3,233
204,1,29,2026-01-12,4,191,3,206
205,1,26,2026-01-12,5,189,3,197
206,1,103,2026-01-12,6,189,3,196
207,1,99,2026-01-12,7,186,3,182
208,1,164,2026-01-12,8,180,3,151
209,1,94,2026-01-12,9,178,3,142
210,1,157,2026-01-12,10,133,2,168
211,1,186,2026-01-12,11,133,2,165
212,1,43,2026-01-12,12,132,2,161
213,1,86,2026-01-12,13,131,2,157
214,1,180,2026-01-12,14,130,2,153
215,1,218,2026-01-12,15,129,2,146
216,1,14,2026-01-12,16,128,2,143
217,1,111,2026-01-12,17,128,2,142
218,1,150,2026-01-12,18,128,2,141
219,1,160,2026-01-12,19,127,2,137
220,1,208,2026-01-12,20,126,2,130
221,1,140,2026-01-19,1,246,4,233
222,1,95,2026-01-19,2,194,3,222
223,1,55,2026-01-19,3,192,3,210
224,1,210,2026-01-19,4,189,3,197
225,1,106,2026-01-19,5,185,3,177
226,1,204,2026-01-19,6,183,3,166
227,1,206,2026-01-19,7,183,3,166
228,1,213,2026-01-19,8,181,3,159
229,1,219,2026-01-19,9,181,3,157
230,1,208,2026-01-19,10,180,3,150
231,1,71,2026-01-19,11,135,2,176
232,1,155,2026-01-19,12,132,2,160
233,1,177,2026-01-19,13,131,2,156
234,1,190,2026-01-19,14,130,2,150
235,1,26,2026-01-19,15,128,2,142
236,1,19,2026-01-19,16,126,2,131
237,1,72,2026-01-19,17,125,2,129
238,1,98,2026-01-19,18,125,2,129
239,1,117,2026-01-19,19,125,2,125
240,1,124,2026-01-19,20,125,2,125
241,1,160,2026-01-26,1,297,5,238
242,1,182,2026-01-26,2,257,4,285
243,1,47,2026-01-26,3,244,4,220
244,1,190,2026-01-26,4,193,3,219
245,1,29,2026-01-26,5,192,3,212
246,1,17,2026-01-26,6,189,3,196
247,1,219,2026-01-26,7,189,3,199
248,1,203,2026-01-26,8,187,3,186
249,1,217,2026-01-26,9,186,3,180
250,1,81,2026-01-26,10,185,3,176
251,1,32,2026-01-26,11,184,3,172
252,1,55,2026-01-26,12,183,3,168
253,1,113,2026-01-26,13,180,3,154
254,1,131,2026-01-26,14,179,3,148
255,1,164,2026-01-26,15,136,2,182
256,1,60,2026-01-26,16,130,2,154
257,1,23,2026-01-26,17,129,2,146
258,1,42,2026-01-26,18,129,2,148
259,1,153,2026-01-26,19,129,2,146
260,1,206,2026-01-26,20,129,2,148
261,1,52,2026-02-02,1,242,4,214
262,1,81,2026-02-02,2,191,3,207
263,1,70,2026-02-02,3,187,3,189
264,1,102,2026-02-02,4,187,3,189
265,1,217,2026-02-02,5,187,3,188
266,1,209,2026-02-02,6,186,3,184
267,1,94,2026-02-02,7,183,3,168
268,1,124,2026-02-02,8,179,3,147
269,1,62,2026-02-02,9,138,2,194
270,1,93,2026-02-02,10,136,2,182
271,1,148,2026-02-02,11,135,2,176
272,1,80,2026-02-02,12,133,2,166
273,1,119,2026-02-02,13,133,2,166
274,1,86,2026-02-02,14,130,2,150
275,1,139,2026-02-02,15,130,2,154
276,1,9,2026-02-02,16,129,2,145
277,1,188,2026-02-02,17,128,2,142
278,1,47,2026-02-02,18,127,2,135
279,1,210,2026-02-02,19,127,2,138
280,1,48,2026-02-02,20,126,2,134
281,1,17,2026-02-09,1,257,4,286
282,1,155,2026-02-09,2,199,3,247
283,1,45,2026-02-09,3,192,3,214
284,1,177,2026-02-09,4,191,3,209
285,1,181,2026-02-09,5,190,3,203
286,1,59,2026-02-09,6,138,2,191
287,1,93,2026-02-09,7,135,2,177
288,1,123,2026-02-09,8,134,2,172
289,1,37,2026-02-09,9,133,2,166
290,1,162,2026-02-09,10,132,2,160
291,1,191,2026-02-09,11,132,2,160
292,1,172,2026-02-09,12,130,2,153
293,1,206,2026-02-09,13,128,2,144
294,1,99,2026-02-09,14,127,2,136
295,1,19,2026-02-09,15,120,2,101
296,1,29,2026-02-09,16,120,2,103
297,1,201,2026-02-09,17,120,2,102
298,1,129,2026-02-09,18,118,2,91
299,1,148,2026-02-09,19,118,2,90
300,1,154,2026-02-09,20,75,1,129
301,1,119,2026-02-16,1,369,6,349
302,1,218,2026-02-16,2,247,4,237
303,1,109,2026-02-16,3,199,3,245
304,1,72,2026-02-16,4,194,3,224
305,1,184,2026-02-16,5,193,3,219
306,1,164,2026-02-16,6,188,3,191
307,1,127,2026-02-16,7,187,3,185
308,1,92,2026-02-16,8,184,3,170
309,1,76,2026-02-16,9,182,3,160
310,1,113,2026-02-16,10,181,3,157
311,1,208,2026-02-16,11,177,3,135
312,1,153,2026-02-16,12,176,3,130
313,1,174,2026-02-16,13,173,3,118
314,1,199,2026-02-16,14,137,2,187
315,1,15,2026-02-16,15,136,2,182
316,1,22,2026-02-16,16,134,2,171
317,1,35,2026-02-16,17,134,2,173
318,1,176,2026-02-16,18,134,2,171
319,1,198,2026-02-16,19,134,2,171
320,1,139,2026-02-16,20,133,2,165
321,1,139,2026-02-23,1,259,4,296
322,1,10,2026-02-23,2,250,4,250
323,1,135,2026-02-23,3,201,3,255
324,1,44,2026-02-23,4,200,3,252
325,1,181,2026-02-23,5,197,3,237
326,1,204,2026-02-23,6,193,3,215
327,1,162,2026-02-23,7,183,3,167
328,1,47,2026-02-23,8,171,3,108
329,1,155,2026-02-23,9,170,3,103
330,1,95,2026-02-23,10,149,2,247
331,1,150,2026-02-23,11,146,2,233
332,1,200,2026-02-23,12,136,2,184
333,1,3,2026-02-23,13,135,2,177
334,1,21,2026-02-23,14,134,2,174
335,1,9,2026-02-23,15,131,2,155
336,1,152,2026-02-23,16,131,2,157
337,1,164,2026-02-23,17,130,2,150
338,1,48,2026-02-23,18,129,2,147
339,1,198,2026-02-23,19,126,2,131
340,1,11,2026-02-23,20,125,2,127
341,1,204,2026-03-02,1,273,4,366
342,1,53,2026-03-02,2,250,4,251
343,1,66,2026-03-02,3,243,4,215
344,1,26,2026-03-02,4,201,3,256
345,1,105,2026-03-02,5,199,3,245
346,1,12,2026-03-02,6,195,3,226
347,1,37,2026-03-02,7,193,3,218
348,1,29,2026-03-02,8,192,3,214
349,1,184,2026-03-02,9,191,3,207
350,1,25,2026-03-02,10,188,3,193
351,1,109,2026-03-02,11,188,3,191
352,1,92,2026-03-02,12,184,3,170
353,1,112,2026-03-02,13,184,3,172
354,1,35,2026-03-02,14,181,3,159
355,1,78,2026-03-02,15,181,3,155
356,1,146,2026-03-02,16,181,3,159
357,1,17,2026-03-02,17,179,3,149
358,1,127,2026-03-02,18,178,3,143
359,1,114,2026-03-02,19,174,3,124
360,1,59,2026-03-02,20,146,2,230
361,1,11,2026-03-09,1,322,5,362
362,1,206,2026-03-09,2,259,4,296
363,1,119,2026-03-09,3,258,4,292
364,1,14,2026-03-09,4,243,4,218
365,1,139,2026-03-09,5,196,3,230
366,1,90,2026-03-09,6,193,3,218
367,1,117,2026-03-09,7,193,3,217
368,1,192,2026-03-09,8,193,3,217
369,1,219,2026-03-09,9,189,3,197
370,1,172,2026-03-09,10,186,3,182
371,1,182,2026-03-09,11,186,3,181
372,1,173,2026-03-09,12,185,3,177
373,1,50,2026-03-09,13,184,3,171
374,1,114,2026-03-09,14,184,3,171
375,1,94,2026-03-09,15,183,3,166
376,1,40,2026-03-09,16,180,3,150
377,1,107,2026-03-09,17,180,3,153
378,1,34,2026-03-09,18,177,3,136
379,1,61,2026-03-09,19,175,3,129
380,1,160,2026-03-09,20,138,2,192
381,1,52,2026-03-16,1,255,4,277
382,1,47,2026-03-16,2,246,4,231
383,1,144,2026-03-16,3,246,4,231
384,1,110,2026-03-16,4,245,4,225
385,1,140,2026-03-16,5,245,4,228
386,1,114,2026-03-16,6,244,4,224
387,1,86,2026-03-16,7,229,4,149
388,1,19,2026-03-16,8,191,3,208
389,1,173,2026-03-16,9,189,3,199
390,1,218,2026-03-16,10,189,3,195
391,1,184,2026-03-16,11,188,3,191
392,1,198,2026-03-16,12,188,3,191
393,1,32,2026-03-16,13,187,3,186
394,1,11,2026-03-16,14,186,3,181
395,1,127,2026-03-16,15,186,3,182
396,1,21,2026-03-16,16,185,3,176
397,1,175,2026-03-16,17,185,3,178
398,1,207,2026-03-16,18,185,3,179
399,1,191,2026-03-16,19,184,3,171
400,1,23,2026-03-16,20,183,3,168
401,1,139,2026-03-23,1,310,5,300
402,1,157,2026-03-23,2,234,4,171
403,1,41,2026-03-23,3,193,3,216
404,1,121,2026-03-23,4,183,3,167
405,1,40,2026-03-23,5,179,3,145
406,1,23,2026-03-23,6,138,2,191
407,1,125,2026-03-23,7,130,2,152
408,1,196,2026-03-23,8,130,2,153
409,1,210,2026-03-23,9,130,2,154
410,1,14,2026-03-23,10,129,2,149
411,1,178,2026-03-23,11,129,2,148
412,1,29,2026-03-23,12,126,2,131
413,1,97,2026-03-23,13,125,2,128
414,1,174,2026-03-23,14,125,2,125
415,1,36,2026-03-23,15,124,2,121
416,1,59,2026-03-23,16,124,2,121
417,1,142,2026-03-23,17,124,2,123
418,1,108,2026-03-23,18,122,2,112
419,1,190,2026-03-23,19,121,2,108
420,1,52,2026-03-23,20,120,2,101
421,1,42,2026-03-30,1,306,5,281
422,1,199,2026-03-30,2,253,4,266
423,1,29,2026-03-30,3,246,4,232
424,1,174,2026-03-30,4,192,3,213
425,1,53,2026-03-30,5,190,3,200
426,1,127,2026-03-30,6,190,3,203
427,1,22,2026-03-30,7,189,3,195
428,1,47,2026-03-30,8,188,3,194
429,1,145,2026-03-30,9,188,3,193
430,1,107,2026-03-30,10,186,3,184
431,1,113,2026-03-30,11,186,3,183
432,1,85,2026-03-30,12,184,3,174
433,1,123,2026-03-30,13,182,3,164
434,1,186,2026-03-30,14,182,3,163
435,1,52,2026-03-30,15,181,3,158
436,1,128,2026-03-30,16,181,3,156
437,1,30,2026-03-30,17,180,3,154
438,1,217,2026-03-30,18,180,3,154
439,1,103,2026-03-30,19,179,3,146
440,1,31,2026-03-30,20,178,3,140
441,1,10,2026-04-06,1,318,5,342
442,1,61,2026-04-06,2,270,4,354
443,1,14,2026-04-06,3,261,4,306
444,1,95,2026-04-06,4,252,4,262
445,1,205,2026-04-06,5,250,4,251
446,1,37,2026-04-06,6,203,3,267
447,1,36,2026-04-06,7,199,3,247
448,1,165,2026-04-06,8,199,3,245
449,1,40,2026-04-06,9,196,3,231
450,1,52,2026-04-06,10,192,3,213
451,1,93,2026-04-06,11,192,3,213
452,1,200,2026-04-06,12,192,3,211
453,1,62,2026-04-06,13,190,3,204
454,1,117,2026-04-06,14,189,3,199
455,1,204,2026-04-06,15,186,3,181
456,1,116,2026-04-06,16,184,3,170
457,1,123,2026-04-06,17,136,2,181
458,1,80,2026-04-06,18,135,2,177
459,1,207,2026-04-06,19,135,2,179
460,1,175,2026-04-06,20,133,2,165
461,1,132,2026-04-13,1,264,4,320
462,1,23,2026-04-13,2,255,4,276
463,1,99,2026-04-13,3,248,4,243
464,1,102,2026-04-13,4,243,4,217
465,1,182,2026-04-13,5,232,4,161
466,1,60,2026-04-13,6,206,3,282
467,1,119,2026-04-13,7,196,3,232
468,1,173,2026-04-13,8,193,3,216
469,1,178,2026-04-13,9,190,3,201
470,1,26,2026-04-13,10,187,3,186
471,1,124,2026-04-13,11,187,3,185
472,1,152,2026-04-13,12,187,3,189
473,1,27,2026-04-13,13,186,3,184
474,1,58,2026-04-13,14,182,3,160
475,1,208,2026-04-13,15,182,3,161
476,1,77,2026-04-13,16,178,3,141
477,1,170,2026-04-13,17,134,2,171
478,1,114,2026-04-13,18,132,2,162
479,1,32,2026-04-13,19,131,2,157
480,1,116,2026-04-13,20,131,2,159
481,1,113,2026-04-20,1,317,5,338
482,1,86,2026-04-20,2,313,5,317
483,1,164,2026-04-20,3,309,5,296
484,1,123,2026-04-20,4,308,5,294
485,1,68,2026-04-20,5,250,4,254
486,1,181,2026-04-20,6,250,4,254
487,1,63,2026-04-20,7,243,4,219
488,1,23,2026-04-20,8,242,4,210
489,1,109,2026-04-20,9,204,3,271
490,1,110,2026-04-20,10,200,3,252
491,1,184,2026-04-20,11,198,3,242
492,1,204,2026-04-20,12,197,3,237
493,1,16,2026-04-20,13,196,3,230
494,1,106,2026-04-20,14,196,3,231
495,1,61,2026-04-20,15,195,3,227
496,1,117,2026-04-20,16,195,3,228
497,1,131,2026-04-20,17,193,3,218
498,1,170,2026-04-20,18,192,3,213
499,1,208,2026-04-20,19,192,3,210
500,1,20,2026-04-20,20,191,3,205
501,1,55,2026-04-27,1,261,4,307
502,1,20,2026-04-27,2,258,4,292
503,1,101,2026-04-27,3,241,4,206
504,1,59,2026-04-27,4,200,3,250
505,1,119,2026-04-27,5,199,3,248
506,1,86,2026-04-27,6,198,3,244
507,1,32,2026-04-27,7,195,3,229
508,1,132,2026-04-27,8,192,3,213
509,1,49,2026-04-27,9,191,3,208
510,1,184,2026-04-27,10,189,3,199
511,1,11,2026-04-27,11,186,3,184
512,1,65,2026-04-27,12,185,3,175
513,1,142,2026-04-27,13,185,3,178
514,1,188,2026-04-27,14,182,3,161
515,1,165,2026-04-27,15,180,3,154
516,1,185,2026-04-27,16,180,3,154
517,1,191,2026-04-27,17,141,2,207
518,1,62,2026-04-27,18,137,2,186
519,1,177,2026-04-27,19,136,2,184
520,1,157,2026-04-27,20,135,2,177
521,2,240,2025-11-03,1,252,4,264
522,2,255,2025-11-03,2,252,4,262
523,2,468,2025-11-03,3,190,3,203
524,2,461,2025-11-03,4,189,3,198
525,2,355,2025-11-03,5,186,3,181
526,2,403,2025-11-03,6,185,3,179
527,2,491,2025-11-03,7,183,3,168
528,2,350,2025-11-03,8,182,3,160
529,2,370,2025-11-03,9,180,3,154
530,2,425,2025-11-03,10,180,3,154
531,2,467,2025-11-03,11,180,3,154
532,2,597,2025-11-03,12,177,3,135
533,2,419,2025-11-03,13,175,3,127
534,2,417,2025-11-03,14,131,2,156
535,2,586,2025-11-03,15,130,2,153
536,2,294,2025-11-03,16,129,2,147
537,2,501,2025-11-03,17,129,2,145
538,2,550,2025-11-03,18,129,2,147
539,2,397,2025-11-03,19,127,2,136
540,2,528,2025-11-03,20,127,2,137
541,2,488,2025-11-10,1,255,4,279
542,2,458,2025-11-10,2,204,3,272
543,2,222,2025-11-10,3,198,3,242
544,2,363,2025-11-10,4,193,3,216
545,2,571,2025-11-10,5,192,3,212
546,2,400,2025-11-10,6,189,3,198
547,2,351,2025-11-10,7,188,3,192
548,2,575,2025-11-10,8,188,3,193
549,2,477,2025-11-10,9,187,3,186
550,2,374,2025-11-10,10,184,3,173
551,2,506,2025-11-10,11,184,3,172
552,2,313,2025-11-10,12,182,3,163
553,2,319,2025-11-10,13,181,3,156
554,2,331,2025-11-10,14,181,3,159
555,2,231,2025-11-10,15,179,3,149
556,2,318,2025-11-10,16,178,3,140
557,2,251,2025-11-10,17,136,2,183
558,2,403,2025-11-10,18,136,2,183
559,2,526,2025-11-10,19,136,2,184
560,2,413,2025-11-10,20,135,2,177
561,2,364,2025-11-17,1,376,6,381
562,2,279,2025-11-17,2,317,5,339
563,2,357,2025-11-17,3,312,5,312
564,2,450,2025-11-17,4,251,4,255
565,2,592,2025-11-17,5,231,4,155
566,2,449,2025-11-17,6,192,3,211
567,2,263,2025-11-17,7,183,3,166
568,2,379,2025-11-17,8,182,3,163
569,2,404,2025-11-17,9,181,3,158
570,2,550,2025-11-17,10,179,3,147
571,2,462,2025-11-17,11,178,3,144
572,2,585,2025-11-17,12,178,3,142
573,2,493,2025-11-17,13,177,3,137
574,2,533,2025-11-17,14,177,3,135
575,2,325,2025-11-17,15,175,3,126
576,2,240,2025-11-17,16,143,2,215
577,2,348,2025-11-17,17,143,2,215
578,2,487,2025-11-17,18,139,2,197
579,2,488,2025-11-17,19,139,2,198
580,2,520,2025-11-17,20,139,2,196
581,2,444,2025-11-24,1,298,5,244
582,2,598,2025-11-24,2,199,3,245
583,2,575,2025-11-24,3,195,3,225
584,2,562,2025-11-24,4,189,3,197
585,2,374,2025-11-24,5,188,3,191
586,2,585,2025-11-24,6,188,3,190
587,2,294,2025-11-24,7,187,3,189
588,2,372,2025-11-24,8,186,3,181
589,2,428,2025-11-24,9,186,3,184
590,2,401,2025-11-24,10,179,3,145
591,2,402,2025-11-24,11,177,3,139
592,2,295,2025-11-24,12,133,2,166
593,2,237,2025-11-24,13,132,2,160
594,2,229,2025-11-24,14,131,2,158
595,2,287,2025-11-24,15,131,2,158
596,2,304,2025-11-24,16,131,2,158
597,2,566,2025-11-24,17,131,2,158
598,2,443,2025-11-24,18,129,2,149
599,2,493,2025-11-24,19,129,2,147
600,2,264,2025-11-24,20,128,2,142
601,2,280,2025-12-01,1,257,4,285
602,2,585,2025-12-01,2,252,4,263
603,2,493,2025-12-01,3,233,4,166
604,2,224,2025-12-01,4,195,3,225
605,2,305,2025-12-01,5,191,3,207
606,2,449,2025-12-01,6,189,3,199
607,2,271,2025-12-01,7,187,3,188
608,2,427,2025-12-01,8,187,3,187
609,2,323,2025-12-01,9,186,3,180
610,2,400,2025-12-01,10,186,3,181
611,2,309,2025-12-01,11,185,3,179
612,2,329,2025-12-01,12,184,3,173
613,2,279,2025-12-01,13,182,3,164
614,2,334,2025-12-01,14,182,3,162
615,2,543,2025-12-01,15,180,3,151
616,2,407,2025-12-01,16,175,3,128
617,2,443,2025-12-01,17,169,3,98
618,2,436,2025-12-01,18,135,2,178
619,2,231,2025-12-01,19,132,2,162
620,2,315,2025-12-01,20,131,2,156
621,2,488,2025-12-08,1,259,4,298
622,2,532,2025-12-08,2,194,3,220
623,2,580,2025-12-08,3,193,3,218
624,2,417,2025-12-08,4,192,3,212
625,2,231,2025-12-08,5,191,3,207
626,2,255,2025-12-08,6,191,3,205
627,2,392,2025-12-08,7,191,3,206
628,2,337,2025-12-08,8,190,3,202
629,2,435,2025-12-08,9,190,3,200
630,2,511,2025-12-08,10,189,3,199
631,2,553,2025-12-08,11,188,3,194
632,2,419,2025-12-08,12,186,3,180
633,2,444,2025-12-08,13,183,3,169
634,2,503,2025-12-08,14,183,3,165
635,2,443,2025-12-08,15,180,3,154
636,2,526,2025-12-08,16,180,3,150
637,2,279,2025-12-08,17,175,3,126
638,2,387,2025-12-08,18,136,2,180
639,2,386,2025-12-08,19,134,2,173
640,2,461,2025-12-08,20,134,2,171
641,2,491,2025-12-15,1,315,5,329
642,2,400,2025-12-15,2,252,4,263
643,2,394,2025-12-15,3,200,3,252
644,2,222,2025-12-15,4,199,3,246
645,2,370,2025-12-15,5,198,3,242
646,2,389,2025-12-15,6,190,3,201
647,2,396,2025-12-15,7,189,3,198
648,2,429,2025-12-15,8,189,3,198
649,2,585,2025-12-15,9,189,3,197
650,2,260,2025-12-15,10,186,3,180
651,2,442,2025-12-15,11,185,3,175
652,2,553,2025-12-15,12,181,3,157
653,2,296,2025-12-15,13,180,3,154
654,2,496,2025-12-15,14,141,2,207
655,2,230,2025-12-15,15,129,2,148
656,2,287,2025-12-15,16,129,2,146
657,2,413,2025-12-15,17,129,2,148
658,2,493,2025-12-15,18,129,2,147
659,2,500,2025-12-15,19,129,2,147
660,2,548,2025-12-15,20,129,2,147
